timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-16 14:54:23,24.1,1039.8,82.73,11.9,16.3,40.16,28.11,1.82,43.88
2026-07-16 15:00:46,23.71,764.2,84.96,8.9,16.98,33.03,31.37,3.67,41.41
2026-07-16 15:04:36,24.05,772.8,92.88,12.1,17.61,33.76,21.75,7.58,39.91
2026-07-16 15:10:44,24.09,779.2,82.28,11.6,16.48,31.06,27.93,1.23,36.3
2026-07-16 15:15:37,24.19,744.6,96.56,12.4,15.16,31.55,32.16,2.53,33.8
2026-07-16 15:23:00,23.86,745.8,92.82,15.1,17.82,32.95,29.2,7.08,28.96
2026-07-16 15:25:35,23.92,734.0,88.43,17.5,17.75,33.37,24.9,1.46,28.98
2026-07-16 15:29:03,23.78,928.1,81.64,14.8,19.28,40.67,31.84,1.99,25.56
2026-07-16 15:37:10,23.75,788.9,77.29,16.6,14.1,31.83,28.28,4.25,25.6
2026-07-16 15:46:03,22.87,742.8,95.62,12.4,18.79,41.99,29.94,2.8,25.53
2026-07-16 15:52:14,23.52,742.7,67.53,16.2,13.37,32.96,29.22,0.8,26.26
2026-07-16 15:57:59,24.17,734.0,74.21,16.5,16.31,35.29,26.36,2.35,24.01
2026-07-16 16:01:18,23.3,677.9,78.04,5.4,16.03,29.42,28.67,7.42,24.66
2026-07-16 16:06:36,23.58,728.5,67.11,12.5,13.95,33.65,25.59,0.36,25.55
2026-07-16 16:10:45,23.39,649.7,67.3,20.9,15.58,34.72,29.54,6.99,24.23
2026-07-16 16:20:22,23.3,696.0,85.4,7.3,18.52,41.67,32.13,3.2,23.68
2026-07-16 16:28:16,22.69,699.2,64.86,11.1,11.73,36.54,32.11,3.25,24.51
2026-07-16 16:32:18,23.37,780.2,65.05,12.0,13.8,36.19,31.12,0.64,27.72
2026-07-16 16:34:38,22.76,661.0,77.72,17.8,21.09,33.57,33.39,4.01,28.06
2026-07-16 16:42:14,23.22,931.3,59.75,10.9,13.28,38.82,25.61,9.37,28.98
2026-07-16 16:48:07,22.85,617.6,67.06,11.6,15.48,26.97,27.68,0.61,31.37
2026-07-16 16:52:29,22.9,662.5,80.29,15.7,15.53,31.76,28.61,2.38,31.46
2026-07-16 16:57:35,22.49,647.9,75.05,18.2,17.98,39.87,35.51,1.64,31.64
2026-07-16 17:03:28,22.25,633.6,58.11,18.6,11.36,30.33,26.56,2.56,30.64
2026-07-16 17:12:35,22.68,636.3,46.82,19.5,10.97,28.15,24.92,1.5,30.62
2026-07-16 17:22:09,22.99,613.0,60.63,21.4,13.78,39.73,26.06,4.19,32.72
2026-07-16 17:27:01,22.18,556.8,55.74,17.4,13.77,33.41,25.25,19.4,30.66
2026-07-16 17:31:36,22.46,616.7,51.43,22.0,12.33,30.89,28.52,1.89,29.94
2026-07-16 17:39:25,22.09,916.6,57.15,23.8,15.5,36.22,27.75,2.85,30.04
2026-07-16 17:45:52,22.35,552.9,47.28,14.7,10.67,29.7,18.61,5.96,31.62
2026-07-16 17:53:39,22.45,560.2,36.04,14.2,11.03,26.35,24.62,5.97,35.36
2026-07-16 17:58:26,21.61,654.6,51.63,15.8,11.33,27.97,24.5,3.24,37.93
2026-07-16 18:01:38,22.08,575.4,40.97,13.2,10.89,34.54,22.47,0.51,39.3
2026-07-16 18:08:13,21.83,532.0,51.32,19.2,8.05,29.11,22.96,5.97,40.55
2026-07-16 18:12:11,21.92,697.3,45.61,17.2,8.94,34.25,24.6,17.64,40.1
2026-07-16 18:19:07,21.74,479.9,37.51,21.4,11.71,30.82,31.48,10.86,41.51
2026-07-16 18:28:04,22.23,470.4,55.19,21.3,12.23,37.34,25.64,5.81,42.87
2026-07-16 18:31:11,22.11,556.9,50.97,23.3,10.41,30.25,23.79,1.91,44.2
2026-07-16 18:35:22,21.36,478.9,49.79,20.5,11.62,32.01,22.69,3.95,42.76
2026-07-16 18:38:51,20.94,460.1,57.25,19.6,12.86,36.05,23.79,1.64,44.9
2026-07-16 18:48:41,21.63,636.1,61.82,17.2,12.31,34.8,29.58,0,44.22
2026-07-16 18:53:44,21.16,466.6,79.06,15.3,13.91,38.68,29.08,3.38,44.32
2026-07-16 19:02:08,21.19,530.4,77.89,16.5,19.01,34.65,31.29,12.45,48.11
2026-07-16 19:05:05,21.6,559.5,50.93,18.3,14.77,30.96,29.72,5.88,47.76
2026-07-16 19:07:56,21.22,443.9,62.41,21.9,10.68,35.71,21.02,3.8,47.08
2026-07-16 19:15:38,21.34,437.8,65.77,15.5,12.86,37.04,26.28,4.18,47.28
2026-07-16 19:18:10,21.79,473.5,70.16,21.1,16.92,38.49,28.94,4.08,48.7
2026-07-16 19:26:06,20.43,526.1,67.4,15.5,15.78,35.42,25.6,3.76,49.9
2026-07-16 19:32:14,21.21,445.7,69.19,17.6,13.12,32.61,25.7,7.06,51.99
2026-07-16 19:37:51,21.32,630.8,59.8,19.0,13.38,38.63,26.72,2.1,55.35
