timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-06 20:27:34,19.64,204.6,93.13,27.1,11.58,21.43,8.79,2.9,47.97
2026-07-06 20:37:34,19.84,225.5,78.38,26.6,7.78,17.68,8.73,1.64,45.88
2026-07-06 20:45:57,20.48,249.7,82.72,39.0,9.88,23.38,18.18,3.3,50.3
2026-07-06 20:53:30,20.3,249.4,94.56,12.9,8.42,21.46,18.86,23.27,46.5
2026-07-06 21:02:52,20.39,256.5,74.48,23.7,14.34,26.23,15.5,5.09,47.3
2026-07-06 21:08:38,19.43,215.1,94.98,35.9,10.91,38.39,16.88,2.21,42.96
2026-07-06 21:20:41,19.31,214.3,108.89,15.3,9.42,38.01,8.84,8.56,41.91
2026-07-06 21:25:57,20.12,265.6,91.54,7.3,10.32,27.64,13.81,3.45,46.59
2026-07-06 21:39:16,19.02,152.6,84.23,17.8,15.71,24.2,12.72,12.04,43.67
2026-07-06 21:49:32,18.83,201.8,112.33,38.7,10.31,21.62,20.02,0.46,45.56
2026-07-06 21:56:00,18.38,169.7,93.89,39.9,6.34,25.45,17.46,0.47,46.85
2026-07-06 22:02:49,18.74,216.2,106.1,30.9,6.14,23.45,15.26,3.14,44.36
2026-07-06 22:09:55,19.46,211.6,94.67,13.9,12.25,26.14,16.83,6.79,42.44
2026-07-06 22:18:56,19.02,143.7,85.88,22.0,9.6,13.69,11.76,2.92,43.25
2026-07-06 22:32:19,18.59,239.9,108.83,28.3,9.28,19.77,17.86,5.19,48.38
2026-07-06 22:41:52,18.81,217.1,116.72,15.5,9.5,30.65,14.56,4.47,43.69
2026-07-06 22:48:56,19.29,153.3,96.17,5.9,10.27,31.69,14.87,6.35,45.73
2026-07-06 22:54:32,19.48,117.6,78.32,39.0,10.09,23.8,20.93,5.03,48.41
2026-07-06 23:01:17,19.91,158.3,95.19,18.5,8.03,26.05,13.19,11.07,42.3
2026-07-06 23:15:43,19.34,200.2,120.42,39.6,3.65,31.36,28.79,6.86,44.18
2026-07-06 23:22:12,19.39,151.0,117.66,9.7,3.72,26.53,13.3,5.7,45.65
2026-07-06 23:28:14,18.98,155.1,107.92,36.5,10.82,30.19,12.5,2.73,44.71
2026-07-06 23:40:51,18.5,199.2,126.39,26.5,13.33,21.68,20.03,1.62,42.71
2026-07-06 23:54:12,19.23,177.8,110.99,13.6,10.68,23.6,13.66,2.24,45.89
2026-07-07 00:07:30,19.2,149.0,116.61,8.9,4.88,20.68,18.1,0.69,44.52
2026-07-07 00:19:01,19.64,166.5,100.59,36.7,6.96,29.67,12.31,0.86,46.3
2026-07-07 00:28:55,19.33,203.4,94.91,33.4,14.36,24.54,16.16,1.22,46.28
2026-07-07 00:39:59,18.35,173.9,101.01,39.0,9.88,20.49,20.9,1.17,45.33
2026-07-07 00:54:40,20.3,136.1,112.54,14.0,3.28,19.55,13.6,1.0,45.39
2026-07-07 01:00:44,18.91,201.9,108.01,13.4,10.24,28.8,12.49,6.71,45.7
2026-07-07 01:07:23,19.79,193.1,102.5,10.2,15.44,28.24,16.71,7.61,41.93
2026-07-07 01:20:11,19.34,152.3,101.72,7.2,10.27,24.55,18.51,1.4,44.52
2026-07-07 01:26:45,18.67,177.6,111.27,29.4,11.11,26.98,10.55,0.31,44.0
2026-07-07 01:40:35,18.67,194.9,103.46,12.2,11.14,26.11,17.65,3.28,45.13
2026-07-07 01:49:18,18.73,208.8,104.97,32.9,9.83,29.87,17.07,0.23,43.33
2026-07-07 01:57:12,18.76,179.8,110.01,16.6,9.05,25.47,11.36,0.01,42.5
2026-07-07 02:10:34,20.08,155.5,96.46,33.3,8.13,35.73,19.18,0.99,44.93
2026-07-07 02:19:36,19.46,221.6,100.62,6.9,13.08,23.64,12.05,14.27,47.55
2026-07-07 02:30:08,19.7,206.5,88.89,10.9,15.02,24.87,13.21,7.76,47.26
2026-07-07 02:35:28,19.75,238.2,98.78,14.0,9.72,18.55,26.35,2.57,46.0
2026-07-07 02:42:13,19.98,204.8,95.29,9.7,8.35,25.9,15.84,23.67,46.05
2026-07-07 02:48:15,21.14,251.9,105.4,6.7,6.85,30.07,19.87,4.76,47.21
2026-07-07 02:57:30,20.04,231.5,93.37,15.7,7.7,25.38,16.82,1.29,46.28
2026-07-07 03:08:18,20.24,178.0,109.45,32.9,12.66,31.81,14.8,2.65,49.69
2026-07-07 03:15:22,19.97,257.0,85.62,15.4,13.33,27.29,9.83,2.79,47.61
2026-07-07 03:28:56,20.17,220.6,86.14,14.4,9.86,16.92,11.75,2.87,45.37
2026-07-07 03:35:43,19.51,270.9,71.28,13.5,5.74,21.68,10.7,4.91,47.45
2026-07-07 03:41:01,20.8,266.6,94.32,32.1,9.05,27.69,7.45,2.32,49.97
2026-07-07 03:47:49,19.87,318.9,81.03,18.7,15.07,29.82,20.89,10.29,43.94
2026-07-07 03:56:57,20.41,254.4,85.13,14.3,10.59,20.3,15.04,5.99,50.8
2026-07-07 04:11:34,21.18,341.9,81.66,37.3,2.79,18.74,18.95,5.5,45.9
2026-07-07 04:22:15,21.3,285.7,60.17,19.3,10.46,14.72,7.58,6.89,45.57
