timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-04 16:28:07,23.74,728.2,88.38,9.9,15.1,39.39,31.75,0.89,47.95
2026-07-04 16:36:49,23.47,792.7,78.66,23.4,17.18,39.54,32.89,18.64,46.41
2026-07-04 16:41:21,23.07,701.8,73.27,19.8,13.39,39.3,24.14,2.36,44.29
2026-07-04 16:45:42,23.29,1097.1,71.31,21.3,14.6,35.34,22.85,0.62,43.46
2026-07-04 16:52:25,23.58,712.6,92.35,13.9,14.76,38.5,28.97,0.91,44.21
2026-07-04 16:55:53,22.88,764.0,75.2,20.0,13.69,35.23,26.84,18.37,42.55
2026-07-04 17:02:31,23.11,663.7,81.04,18.6,13.8,35.03,28.28,11.42,41.77
2026-07-04 17:08:35,23.46,692.9,69.87,20.8,12.7,42.13,35.14,1.77,42.28
2026-07-04 17:14:49,22.83,793.9,76.18,23.2,12.13,41.0,25.96,0.04,42.36
2026-07-04 17:17:24,23.55,801.8,68.9,19.8,14.24,43.36,28.24,6.21,45.24
2026-07-04 17:23:22,22.69,685.2,72.27,16.9,15.9,45.17,27.86,2.28,45.64
2026-07-04 17:29:04,22.85,626.6,58.98,23.3,12.95,37.88,31.4,5.49,47.41
2026-07-04 17:36:54,22.61,675.2,74.09,18.2,16.98,41.63,35.17,3.76,46.52
2026-07-04 17:39:09,22.99,715.0,90.98,18.8,18.53,41.11,40.1,1.72,44.44
2026-07-04 17:46:22,22.7,759.4,57.95,17.4,10.28,40.02,26.61,2.05,43.4
2026-07-04 17:55:53,22.68,596.8,68.2,19.3,15.79,40.94,28.43,5.52,42.15
2026-07-04 18:04:01,22.72,544.0,64.63,25.4,12.25,37.3,23.75,7.3,41.95
2026-07-04 18:12:35,22.57,623.6,72.13,16.1,15.88,35.92,34.81,1.6,41.72
2026-07-04 18:16:53,22.35,569.0,50.49,20.5,11.89,33.89,25.1,1.39,43.7
2026-07-04 18:22:53,22.15,981.7,72.06,23.0,13.13,41.08,30.26,4.87,43.64
2026-07-04 18:25:38,22.42,592.1,73.23,23.2,14.09,42.59,30.97,1.66,44.7
2026-07-04 18:31:56,21.94,573.9,58.62,28.4,10.73,40.86,31.34,1.99,46.29
2026-07-04 18:38:07,22.04,686.0,48.62,25.2,11.58,37.98,28.39,12.58,48.33
2026-07-04 18:41:04,22.3,585.8,68.77,20.2,15.11,41.52,28.09,2.51,46.85
2026-07-04 18:46:53,21.88,728.2,79.51,20.4,19.74,45.46,35.34,2.39,49.02
2026-07-04 18:52:50,22.16,514.2,80.28,28.0,14.47,38.71,29.31,3.95,48.97
2026-07-04 19:01:29,22.17,558.2,85.42,23.4,14.63,40.16,26.58,7.03,51.01
2026-07-04 19:06:46,21.78,508.5,71.13,13.1,15.23,40.5,33.91,10.56,52.47
2026-07-04 19:15:21,21.77,741.4,82.08,19.0,10.46,34.73,30.05,7.37,53.29
2026-07-04 19:21:20,21.37,500.0,84.83,22.6,14.81,42.48,26.04,5.73,57.14
2026-07-04 19:30:34,21.15,781.3,69.15,19.1,14.45,43.87,29.68,2.58,58.62
2026-07-04 19:39:04,21.35,489.7,80.09,16.2,14.22,40.14,37.64,4.1,59.5
2026-07-04 19:41:30,21.3,674.3,76.59,18.7,14.48,37.89,32.54,3.53,62.11
2026-07-04 19:44:56,21.2,537.5,93.02,16.5,15.62,46.53,35.88,2.04,62.35
2026-07-04 19:47:22,21.22,523.0,94.7,26.8,20.31,41.37,39.11,2.11,60.33
2026-07-04 19:50:00,21.23,600.4,81.52,29.0,13.73,42.82,34.66,3.55,60.46
2026-07-04 19:53:37,21.44,809.6,92.1,28.2,15.81,41.24,33.05,9.95,64.48
2026-07-04 20:03:16,21.1,568.3,106.28,23.0,20.12,45.42,38.78,3.35,67.06
2026-07-04 20:11:31,21.26,481.5,108.49,17.2,19.94,46.87,39.19,1.2,70.53
2026-07-04 20:13:58,20.9,497.5,87.86,19.3,16.03,36.07,33.58,1.55,70.76
2026-07-04 20:19:59,19.86,479.1,105.86,14.2,21.42,43.18,38.91,6.38,72.72
2026-07-04 20:22:12,20.49,470.0,106.78,21.9,20.61,43.7,32.74,0.77,75.42
2026-07-04 20:28:33,20.53,481.5,94.53,22.0,18.52,38.15,34.95,7.29,77.19
2026-07-04 20:31:42,20.26,608.3,121.83,20.6,23.38,48.4,43.33,6.92,78.42
2026-07-04 20:34:06,20.76,540.7,105.82,18.7,21.1,46.36,38.78,0.55,77.57
2026-07-04 20:37:02,20.75,478.7,130.19,18.5,21.51,47.77,39.5,13.45,78.81
2026-07-04 20:40:05,20.73,553.9,118.21,20.6,19.18,46.51,36.33,0.6,81.83
2026-07-04 20:48:43,20.24,467.5,121.48,23.8,22.57,39.67,42.37,8.35,80.49
2026-07-04 20:52:28,20.61,505.2,103.69,10.4,20.92,48.97,35.03,6.01,81.86
2026-07-04 20:56:32,20.35,477.2,112.83,18.3,24.17,45.55,40.44,2.36,79.9
2026-07-04 21:00:05,19.91,635.5,120.64,19.7,23.06,54.15,41.93,0.54,81.17
2026-07-04 21:07:49,19.95,821.3,112.62,24.3,18.47,52.9,38.03,10.89,81.35
2026-07-04 21:14:56,19.84,483.3,117.25,13.8,22.67,53.33,39.64,9.87,82.01
2026-07-04 21:21:06,20.31,555.3,125.44,20.4,23.82,45.81,44.12,7.82,81.05
2026-07-04 21:28:38,20.32,483.0,129.54,25.3,24.24,51.28,47.7,12.18,79.92
2026-07-04 21:35:06,19.94,439.9,108.56,28.7,20.3,45.44,43.08,4.3,82.34
2026-07-04 21:37:28,19.76,570.9,142.27,17.0,26.78,47.35,44.23,7.94,83.65
2026-07-04 21:40:48,20.11,474.7,135.29,21.9,26.5,49.91,48.39,1.05,86.05
2026-07-04 21:49:53,19.7,651.9,117.7,16.7,17.25,42.12,35.2,9.59,86.63
2026-07-04 21:53:53,19.68,438.6,128.65,24.2,22.07,46.27,45.84,9.66,87.27
2026-07-04 21:58:49,19.34,466.9,132.28,18.5,23.14,50.72,40.75,13.78,88.68
2026-07-04 22:04:51,19.43,562.2,132.97,24.0,17.61,48.22,35.49,1.82,88.03
2026-07-04 22:06:57,20.17,425.7,142.76,17.7,24.58,51.82,45.68,4.11,89.32
2026-07-04 22:12:57,19.12,422.0,133.94,22.9,24.69,42.73,45.53,0.96,90.0
2026-07-04 22:16:38,19.42,560.4,129.72,22.6,20.39,47.57,37.85,3.68,86.79
2026-07-04 22:25:52,19.25,703.9,129.7,24.1,24.34,53.93,39.58,5.69,86.53
2026-07-04 22:35:22,19.86,450.6,126.75,23.3,19.63,47.36,33.84,5.18,87.01
2026-07-04 22:38:58,19.57,459.8,132.94,23.1,21.74,43.81,34.12,10.2,90.0
2026-07-04 22:47:58,19.85,426.0,124.99,20.7,21.32,51.32,37.56,6.32,90.0
2026-07-04 22:54:33,19.99,440.0,143.51,8.7,25.69,42.92,47.34,0.79,90.0
2026-07-04 22:58:14,19.06,772.2,139.12,21.2,21.38,45.06,35.98,0.87,90.0
2026-07-04 23:01:01,19.94,427.4,135.96,22.6,21.63,45.76,46.3,2.62,90.0
2026-07-04 23:04:50,19.56,396.8,133.43,17.0,22.7,51.13,39.5,18.99,89.02
2026-07-04 23:10:51,19.67,432.4,127.75,19.6,22.17,48.6,43.58,1.05,90.0
2026-07-04 23:19:46,19.23,420.1,120.6,15.6,22.8,49.49,37.14,5.12,90.0
2026-07-04 23:26:33,19.43,384.6,142.82,20.6,24.28,44.94,42.58,4.85,88.75
