timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-04 16:28:19,22.71,708.2,62.54,15.0,9.9,30.0,20.11,3.03,46.53
2026-07-04 16:34:42,23.12,629.1,61.9,14.2,12.22,26.5,24.47,3.16,46.39
2026-07-04 16:43:56,22.42,595.9,65.08,6.8,12.52,24.46,24.7,5.28,42.55
2026-07-04 16:50:07,22.98,600.6,62.03,17.5,12.43,27.14,24.47,3.14,40.83
2026-07-04 16:59:38,22.94,562.5,47.95,20.6,10.33,29.43,22.15,14.19,38.67
2026-07-04 17:05:25,22.73,598.8,55.5,17.1,10.55,26.94,21.62,5.62,37.19
2026-07-04 17:13:39,22.99,737.8,55.62,19.8,10.76,25.85,20.06,3.36,38.83
2026-07-04 17:21:38,22.43,530.5,51.28,9.8,7.69,28.66,18.32,2.21,40.3
2026-07-04 17:29:28,22.4,572.1,33.67,14.1,8.53,36.6,26.97,9.83,38.78
2026-07-04 17:38:07,22.39,537.1,40.82,15.0,10.52,31.48,20.51,6.35,38.22
2026-07-04 17:41:29,22.35,538.0,51.34,19.7,13.72,43.95,27.61,2.43,38.14
2026-07-04 17:50:54,22.42,713.7,53.08,11.2,10.02,28.53,21.69,6.21,41.77
2026-07-04 17:53:12,22.5,500.9,55.19,20.2,11.21,26.86,25.13,2.03,41.57
2026-07-04 18:01:42,22.36,514.8,36.94,14.3,9.49,32.11,24.92,15.04,43.15
2026-07-04 18:11:16,21.58,509.0,58.58,15.2,13.16,34.97,20.43,10.9,45.24
2026-07-04 18:20:32,22.23,484.8,38.98,18.0,11.99,27.0,26.41,0.85,46.45
2026-07-04 18:24:27,21.58,596.7,53.4,23.6,9.59,19.59,24.12,2.13,48.53
2026-07-04 18:29:28,21.78,537.2,47.59,19.8,10.54,37.11,27.17,1.12,49.64
2026-07-04 18:33:14,22.05,629.0,43.96,19.3,9.33,22.56,20.32,1.05,49.06
2026-07-04 18:38:14,21.53,646.2,36.1,15.9,11.84,32.13,22.61,9.67,49.05
2026-07-04 18:45:39,21.61,432.2,59.21,17.3,8.91,31.15,21.35,2.72,50.13
2026-07-04 18:50:35,21.15,457.1,53.09,19.6,9.68,26.27,18.52,4.14,52.96
2026-07-04 18:58:18,21.55,479.3,62.36,20.1,9.39,29.31,24.36,2.86,50.42
2026-07-04 19:05:49,21.21,580.8,68.45,21.1,14.96,30.7,24.17,2.88,50.61
2026-07-04 19:12:54,21.38,436.2,58.32,10.3,13.36,29.37,25.52,2.11,49.06
2026-07-04 19:19:46,21.23,460.8,52.62,17.5,13.03,32.81,24.38,0.58,51.75
2026-07-04 19:27:49,20.73,580.9,72.7,18.5,15.91,31.33,35.45,2.29,55.49
2026-07-04 19:32:05,20.46,514.8,78.58,18.7,16.24,32.72,29.18,1.57,58.0
2026-07-04 19:38:03,20.88,391.5,64.5,23.6,14.69,32.08,28.19,3.15,60.41
2026-07-04 19:45:10,20.92,432.2,77.42,13.8,16.49,29.84,31.68,2.44,60.5
2026-07-04 19:48:53,20.39,470.1,74.39,13.1,14.86,31.76,31.92,15.02,60.07
2026-07-04 19:56:56,20.33,469.7,72.56,10.3,13.68,27.5,23.4,3.97,63.24
2026-07-04 20:01:47,20.57,445.9,112.3,8.9,18.65,42.88,35.92,2.32,65.31
2026-07-04 20:08:58,20.13,501.5,97.58,8.8,18.0,45.5,28.81,1.72,70.39
2026-07-04 20:11:27,20.26,420.8,70.94,20.3,15.11,34.55,29.28,6.46,68.51
2026-07-04 20:13:44,19.86,642.2,78.74,10.7,15.96,34.56,25.72,16.22,70.92
2026-07-04 20:22:37,20.35,440.6,107.3,14.9,14.63,34.1,32.16,18.74,71.8
2026-07-04 20:28:51,19.71,391.8,100.22,14.8,17.26,27.5,25.67,0.41,72.98
2026-07-04 20:36:47,19.94,361.2,98.82,20.7,18.98,42.18,31.71,18.57,75.26
2026-07-04 20:46:26,19.45,486.4,88.48,8.6,15.01,39.51,28.54,1.18,76.43
2026-07-04 20:51:07,19.81,428.5,91.1,14.8,15.7,30.22,31.29,8.41,77.77
2026-07-04 20:58:07,19.82,430.7,113.71,15.3,17.56,39.92,32.06,2.36,76.29
2026-07-04 21:06:22,19.94,408.9,112.72,16.2,19.73,37.27,37.33,3.2,75.5
2026-07-04 21:14:15,19.49,348.6,91.18,10.4,17.92,36.94,34.42,7.62,75.32
2026-07-04 21:20:16,19.91,613.6,112.56,14.8,20.94,42.31,32.0,1.43,76.7
2026-07-04 21:28:40,19.49,434.0,102.63,19.6,21.27,33.71,38.43,2.36,78.98
2026-07-04 21:33:01,19.0,556.7,108.17,15.2,18.21,30.45,32.82,3.56,82.33
2026-07-04 21:37:04,19.43,437.1,108.66,12.2,18.81,42.85,35.43,1.31,83.06
2026-07-04 21:42:46,19.43,334.5,115.03,14.2,16.94,35.24,36.1,10.2,85.03
2026-07-04 21:46:59,19.74,390.4,112.52,13.0,19.6,35.19,36.96,3.03,86.42
2026-07-04 21:56:14,19.62,343.7,114.62,19.5,21.24,40.75,34.15,3.24,89.11
2026-07-04 22:04:02,19.3,334.3,113.06,13.6,17.14,33.52,31.86,1.0,90.0
2026-07-04 22:11:05,19.26,327.0,127.7,18.3,19.97,40.65,31.72,3.52,90.0
2026-07-04 22:15:43,19.21,354.2,118.69,7.9,19.26,42.42,30.35,2.44,90.0
2026-07-04 22:19:28,19.38,371.4,115.65,16.0,18.16,32.27,32.67,1.3,90.0
2026-07-04 22:29:08,19.3,613.1,112.96,11.9,23.39,45.12,36.12,0,90.0
2026-07-04 22:33:25,19.45,377.8,107.69,22.9,21.85,38.18,35.65,2.91,90.0
2026-07-04 22:41:50,18.84,329.7,123.42,10.1,25.29,46.34,36.12,0.72,90.0
2026-07-04 22:43:57,19.2,656.1,113.0,15.1,16.63,33.98,34.1,2.18,88.09
2026-07-04 22:48:43,19.17,513.2,121.46,13.1,20.24,35.41,32.09,2.58,90.0
2026-07-04 22:51:00,18.97,429.1,106.59,19.6,17.21,41.23,28.96,6.33,89.0
2026-07-04 22:59:10,18.95,362.2,103.15,17.4,18.02,38.11,34.61,0.91,89.53
2026-07-04 23:03:34,19.7,484.5,116.94,12.7,20.49,41.81,34.45,0,90.0
2026-07-04 23:07:37,19.62,496.8,137.61,17.9,23.86,38.06,46.34,1.69,89.75
2026-07-04 23:13:45,18.51,333.7,127.31,14.1,20.76,34.43,38.81,0.79,89.76
2026-07-04 23:17:15,18.62,413.5,130.1,15.2,20.76,40.14,42.96,1.9,90.0
2026-07-04 23:22:08,18.67,333.3,122.08,14.7,20.01,39.37,32.91,0.41,90.0
2026-07-04 23:27:45,18.33,343.9,125.0,15.7,20.65,42.17,38.7,8.0,90.0
2026-07-04 23:30:59,19.38,368.0,104.4,10.2,18.37,40.9,40.73,1.34,90.0
2026-07-04 23:36:13,18.6,355.6,141.62,4.4,21.39,39.29,42.78,6.05,90.0
2026-07-04 23:42:30,18.54,340.5,116.3,16.8,20.96,34.21,33.83,1.57,90.0
2026-07-04 23:47:16,18.92,358.3,116.1,11.5,22.74,38.73,37.8,1.05,89.87
2026-07-04 23:53:00,18.44,352.2,131.08,21.0,23.16,40.83,40.01,2.4,89.92
2026-07-04 23:58:41,19.7,319.9,126.38,16.8,21.18,39.68,35.1,7.43,90.0
2026-07-05 00:03:04,19.15,376.5,111.56,13.1,23.85,42.16,39.85,4.28,89.63
