timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-08 14:22:24,25.07,847.5,101.62,15.9,16.81,41.78,29.34,4.58,46.3
2026-07-08 14:29:21,24.81,1107.6,112.38,17.4,18.44,43.66,40.15,3.08,46.01
2026-07-08 14:38:58,24.92,853.8,114.17,15.1,19.72,45.34,35.36,2.51,42.82
2026-07-08 14:47:24,24.52,855.8,83.88,18.4,19.74,39.0,36.49,1.94,41.13
2026-07-08 14:51:33,24.27,844.0,98.46,15.7,15.61,41.6,35.88,1.24,36.85
2026-07-08 14:55:30,24.3,819.9,115.36,12.5,19.87,48.9,41.74,1.99,35.68
2026-07-08 15:03:12,24.09,965.9,110.34,28.2,19.53,42.73,30.03,0,34.49
2026-07-08 15:10:18,24.89,894.9,84.33,12.9,17.3,41.39,28.56,3.91,33.42
2026-07-08 15:13:00,24.27,871.3,99.14,24.5,17.68,41.03,33.62,6.56,30.82
2026-07-08 15:21:06,24.28,925.4,103.73,14.1,13.09,38.62,32.19,0.52,28.87
2026-07-08 15:25:17,24.15,844.1,103.15,13.2,18.05,48.54,33.4,4.39,26.42
2026-07-08 15:32:38,23.75,842.3,102.97,17.2,18.89,41.19,42.52,0.25,26.75
2026-07-08 15:37:12,23.96,823.4,102.31,21.2,16.69,47.86,25.47,13.72,24.53
2026-07-08 15:39:40,23.75,1054.7,89.82,13.1,18.15,39.23,35.77,2.09,22.23
2026-07-08 15:48:41,24.27,758.6,107.63,23.4,24.14,46.0,44.38,6.56,22.44
2026-07-08 15:54:08,23.9,754.9,102.35,20.1,17.55,45.94,35.91,9.65,25.23
2026-07-08 15:59:43,23.8,900.7,79.08,20.0,14.14,35.5,35.02,12.97,26.0
2026-07-08 16:05:59,23.9,833.3,89.33,13.6,18.17,46.49,41.43,11.32,27.45
2026-07-08 16:13:02,23.8,760.6,94.4,21.6,18.14,44.73,35.6,8.21,27.59
2026-07-08 16:16:45,23.98,776.2,82.8,18.1,14.0,47.61,28.03,5.06,25.79
2026-07-08 16:25:52,24.1,762.1,78.74,19.0,17.42,40.29,28.5,15.99,26.83
2026-07-08 16:28:54,23.94,703.9,68.99,19.3,12.0,44.79,25.46,2.37,27.75
2026-07-08 16:38:16,23.52,718.1,70.8,19.3,12.26,40.0,29.84,0.73,26.82
2026-07-08 16:45:04,23.12,690.4,88.72,18.5,17.24,41.58,33.91,4.78,27.4
2026-07-08 16:48:20,23.94,749.4,53.06,18.2,15.57,47.98,34.85,3.29,25.36
2026-07-08 16:55:03,23.33,725.3,83.98,22.3,17.41,42.49,32.83,10.29,24.17
2026-07-08 17:03:22,23.38,649.0,84.2,22.3,13.87,35.87,28.24,0.36,24.99
2026-07-08 17:10:19,23.27,719.8,64.82,21.1,13.57,40.08,35.72,0.93,26.61
2026-07-08 17:15:24,23.34,657.0,75.42,19.5,15.34,42.15,28.84,2.96,27.74
2026-07-08 17:23:24,23.03,737.7,67.06,24.4,9.55,41.8,28.94,1.32,30.27
2026-07-08 17:31:32,22.91,647.6,75.71,22.7,12.15,38.05,23.94,2.69,27.79
2026-07-08 17:38:13,23.02,649.9,75.51,17.8,11.91,34.1,31.39,2.27,29.03
2026-07-08 17:43:10,22.75,625.8,62.18,17.3,11.34,41.41,25.4,6.32,31.07
2026-07-08 17:47:03,22.62,659.8,64.16,15.5,13.59,46.74,29.17,2.41,32.0
2026-07-08 17:56:48,22.78,575.0,65.6,22.6,16.24,41.65,29.91,2.18,34.28
2026-07-08 18:03:15,22.54,658.5,72.55,27.3,11.98,39.12,32.64,8.69,37.24
2026-07-08 18:06:56,22.76,577.7,60.4,26.0,12.39,39.87,23.8,3.99,37.56
2026-07-08 18:14:10,22.67,555.0,61.74,21.1,9.94,37.65,29.59,9.42,39.24
2026-07-08 18:19:45,22.15,629.7,66.44,21.7,11.74,36.26,25.78,0.65,37.54
2026-07-08 18:23:50,21.87,527.6,72.79,22.3,14.51,41.06,30.92,22.15,37.52
2026-07-08 18:30:15,22.18,612.4,85.27,19.5,14.76,44.36,39.19,6.2,38.09
2026-07-08 18:39:56,21.76,630.0,68.12,18.5,12.2,32.45,24.28,9.13,38.87
2026-07-08 18:45:20,22.11,533.8,79.62,22.6,15.48,45.67,33.94,4.91,38.63
2026-07-08 18:51:37,22.16,535.7,68.49,22.4,9.36,36.72,25.13,0.26,41.11
2026-07-08 18:55:08,21.42,564.2,76.45,24.8,12.47,40.62,33.22,10.99,44.03
2026-07-08 19:03:20,22.08,574.3,93.91,13.1,15.88,42.17,35.4,1.61,43.83
2026-07-08 19:11:09,21.47,732.0,85.44,20.5,12.42,44.47,29.11,1.83,47.55
2026-07-08 19:20:04,21.88,519.5,81.24,29.4,16.78,45.73,31.6,8.37,48.2
2026-07-08 19:27:06,21.52,565.8,100.63,17.6,16.95,43.67,35.0,18.69,51.19
2026-07-08 19:29:07,21.76,481.6,71.69,21.4,12.93,38.69,34.29,2.03,52.27
2026-07-08 19:36:16,21.05,845.1,82.54,20.7,17.35,42.08,30.83,4.12,54.55
2026-07-08 19:44:43,21.23,505.9,78.82,19.9,13.33,39.59,33.41,2.01,57.11
2026-07-08 19:52:31,21.34,512.3,70.49,27.8,9.2,33.32,27.21,2.83,59.41
2026-07-08 19:56:04,21.32,518.5,90.55,21.2,15.69,39.9,35.69,0.48,58.93
2026-07-08 20:04:22,21.38,511.6,95.44,22.5,16.98,41.3,34.2,11.83,63.37
2026-07-08 20:10:29,20.43,514.1,113.34,16.5,22.93,43.78,38.68,3.88,64.14
2026-07-08 20:12:47,20.74,531.8,100.16,27.2,19.44,34.72,40.7,1.54,64.37
2026-07-08 20:22:03,20.46,446.7,106.49,22.6,18.95,44.96,37.7,7.79,65.43
2026-07-08 20:25:39,20.62,466.1,93.16,20.5,15.78,40.79,36.2,2.18,67.02
2026-07-08 20:32:13,20.93,482.0,99.85,23.0,19.14,45.53,31.22,3.88,72.61
2026-07-08 20:36:52,20.66,459.3,121.63,19.7,22.26,40.59,42.42,2.05,73.33
2026-07-08 20:42:17,20.31,464.6,121.0,18.5,23.18,45.45,40.85,6.57,74.13
2026-07-08 20:52:06,20.67,571.8,104.42,16.4,15.64,36.16,35.67,8.05,73.87
2026-07-08 20:54:52,20.47,462.1,118.41,16.4,23.76,43.33,44.22,1.16,74.07
2026-07-08 21:04:04,20.46,513.3,136.04,24.2,26.87,41.24,45.72,8.32,75.99
2026-07-08 21:09:12,20.38,466.5,116.18,25.6,19.5,41.03,42.37,12.58,79.21
2026-07-08 21:17:10,19.79,436.8,126.85,10.9,22.28,39.35,38.19,11.75,81.49
2026-07-08 21:23:47,20.17,405.2,110.91,21.2,19.67,55.59,39.01,1.81,81.84
2026-07-08 21:29:58,20.04,443.6,124.94,19.8,25.29,57.68,45.81,2.67,82.61
2026-07-08 21:34:27,20.31,456.5,121.2,21.7,21.94,41.38,42.43,12.4,87.54
2026-07-08 21:40:05,19.63,519.5,127.21,17.6,25.13,48.57,39.82,1.78,87.94
2026-07-08 21:49:02,20.01,555.7,142.41,23.8,26.59,48.65,45.15,2.97,86.97
2026-07-08 21:54:54,20.19,504.6,126.64,25.2,19.86,44.03,42.68,0,85.48
2026-07-08 21:59:55,20.28,553.3,132.01,19.9,24.31,46.13,41.39,2.82,86.19
2026-07-08 22:08:46,19.4,559.2,117.96,27.6,19.91,43.74,30.79,13.57,86.72
2026-07-08 22:18:43,19.69,501.7,135.11,19.7,23.5,48.78,43.21,10.73,87.16
2026-07-08 22:22:32,19.85,440.9,119.48,18.5,21.41,50.6,40.5,0,89.18
2026-07-08 22:24:36,20.15,610.0,127.2,24.4,23.7,52.21,44.86,5.34,89.71
2026-07-08 22:31:42,19.65,440.0,138.46,12.1,21.66,46.68,43.62,2.14,90.0
2026-07-08 22:34:24,19.58,552.9,128.12,19.7,23.42,48.26,41.97,6.32,90.0
2026-07-08 22:39:13,19.85,397.1,131.52,18.6,21.7,44.34,42.17,4.17,90.0
2026-07-08 22:47:52,19.71,480.5,131.16,22.0,20.02,46.63,41.9,6.13,88.19
2026-07-08 22:52:23,19.45,434.1,134.05,25.0,23.52,51.17,44.65,0.46,90.0
2026-07-08 23:00:39,19.34,517.9,151.15,13.1,26.46,53.3,45.24,3.75,90.0
2026-07-08 23:06:08,19.62,449.6,138.45,14.7,26.68,51.15,44.49,8.16,90.0
2026-07-08 23:14:58,19.69,414.0,137.59,18.9,23.44,46.47,37.13,1.58,90.0
2026-07-08 23:22:45,19.69,428.2,120.41,19.1,21.89,50.48,41.63,3.99,90.0
2026-07-08 23:27:24,19.41,429.5,139.08,20.1,25.39,50.74,43.46,5.99,90.0
