timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-04 16:30:14,22.09,775.0,58.78,9.3,12.65,31.16,25.0,0.86,50.77
2026-07-04 16:33:19,22.12,585.8,36.37,23.8,10.24,29.97,21.09,0.05,49.53
2026-07-04 16:38:15,21.22,744.9,50.09,19.7,6.19,19.91,18.75,1.19,48.82
2026-07-04 16:43:20,21.87,550.3,48.23,12.3,12.17,31.33,27.98,1.51,44.64
2026-07-04 16:48:55,21.62,703.7,37.38,14.8,9.88,22.71,19.69,5.12,42.28
2026-07-04 16:57:06,21.51,571.5,42.09,12.3,6.3,23.93,17.99,2.19,42.07
2026-07-04 17:00:29,21.7,546.0,44.11,13.4,10.08,28.59,26.25,2.98,40.02
2026-07-04 17:06:08,22.07,567.5,47.22,28.4,8.88,32.01,22.37,0.71,41.43
2026-07-04 17:10:32,21.42,529.0,53.48,12.7,12.27,20.05,21.76,2.37,41.3
2026-07-04 17:14:04,21.49,590.9,36.21,18.7,8.86,27.69,24.33,0.2,41.9
2026-07-04 17:16:07,21.62,545.6,49.16,21.7,11.39,26.64,22.91,0.93,41.79
2026-07-04 17:21:36,21.55,533.1,60.24,17.1,8.29,17.29,20.04,5.05,43.26
2026-07-04 17:26:48,21.53,508.7,37.69,16.5,11.13,27.2,21.36,1.61,46.86
2026-07-04 17:29:56,21.62,539.9,44.65,16.1,8.85,14.3,15.92,7.61,48.37
2026-07-04 17:35:03,21.33,505.3,47.21,10.3,11.47,30.37,29.72,8.1,48.66
2026-07-04 17:43:02,21.27,485.6,26.4,16.9,8.03,26.94,22.79,6.15,49.95
2026-07-04 17:52:24,20.74,771.7,50.3,18.6,9.98,29.42,23.93,2.7,50.39
2026-07-04 17:54:46,20.94,441.8,42.98,15.5,6.26,21.77,15.83,2.43,49.47
2026-07-04 17:59:11,21.3,469.0,20.07,13.0,12.41,33.23,18.8,3.14,50.21
2026-07-04 18:03:28,21.1,548.1,46.89,23.9,8.24,27.18,20.68,1.37,49.03
2026-07-04 18:09:44,21.13,582.6,43.27,19.9,8.69,22.47,20.39,1.05,49.67
2026-07-04 18:11:48,20.85,408.7,40.51,20.2,10.39,28.56,20.12,2.72,48.19
2026-07-04 18:19:06,20.69,511.9,46.95,17.5,5.44,22.07,13.97,1.58,48.69
2026-07-04 18:21:26,21.0,655.9,56.76,19.3,11.94,28.47,19.21,1.22,48.69
2026-07-04 18:25:36,20.74,523.2,39.15,28.0,8.84,28.75,20.06,4.24,51.14
2026-07-04 18:31:38,20.68,506.5,46.98,16.6,9.62,25.55,26.74,2.09,50.48
2026-07-04 18:37:39,20.55,401.8,43.0,21.3,7.73,19.35,20.6,1.14,47.79
2026-07-04 18:47:22,20.63,385.7,54.46,15.0,13.13,30.33,18.67,0,49.95
2026-07-04 18:53:48,20.11,631.4,57.33,28.3,11.02,29.49,29.22,3.21,52.49
2026-07-04 19:03:38,20.1,381.6,44.14,8.1,11.19,25.43,21.59,2.27,54.9
2026-07-04 19:13:02,20.29,467.5,75.72,23.4,12.56,27.83,24.09,0,55.33
2026-07-04 19:17:46,20.76,388.4,65.78,17.0,15.65,31.99,27.25,2.59,58.21
2026-07-04 19:23:29,19.93,371.3,67.0,23.2,15.29,27.89,30.41,2.04,60.58
2026-07-04 19:30:35,20.32,370.9,66.54,23.6,12.01,30.07,23.1,4.93,63.6
2026-07-04 19:36:33,19.46,592.8,73.66,20.5,14.49,31.27,27.66,4.52,66.01
2026-07-04 19:45:02,19.34,371.7,76.99,20.2,15.98,31.29,26.23,0,68.06
2026-07-04 19:54:29,19.39,371.5,72.83,15.1,12.31,26.15,21.1,6.67,69.61
2026-07-04 19:58:04,20.11,341.6,47.55,26.3,7.29,25.01,21.74,1.77,68.35
2026-07-04 20:00:09,20.13,367.5,85.27,25.4,12.51,37.55,21.98,6.2,67.7
2026-07-04 20:08:32,19.35,376.3,71.14,13.5,15.12,26.5,31.77,6.39,68.53
2026-07-04 20:14:33,19.06,368.5,79.37,7.4,16.92,29.35,28.53,3.48,68.63
2026-07-04 20:17:24,19.19,383.3,83.5,13.2,15.56,31.41,31.49,0,70.74
2026-07-04 20:22:08,19.19,679.9,88.23,17.8,15.68,35.42,29.32,0,73.43
2026-07-04 20:32:04,18.95,349.6,91.13,20.4,16.39,31.81,25.72,0.63,74.51
2026-07-04 20:36:27,19.38,409.2,90.87,18.3,20.3,39.38,32.17,2.22,75.75
2026-07-04 20:40:13,18.92,334.0,90.6,20.7,18.19,29.95,31.51,1.3,74.87
2026-07-04 20:47:44,18.73,300,103.86,11.5,18.88,27.61,26.54,0.78,79.76
2026-07-04 20:55:37,19.07,313.4,101.58,18.7,20.67,27.34,38.05,6.53,80.68
2026-07-04 20:59:16,19.1,372.5,87.16,18.4,16.86,24.78,26.14,0.3,82.19
2026-07-04 21:02:37,18.55,366.6,101.08,12.2,20.18,41.21,31.42,1.02,83.58
2026-07-04 21:09:38,18.71,558.3,95.27,18.0,16.29,40.62,27.05,1.52,84.64
2026-07-04 21:12:42,18.47,330.5,100.35,22.8,18.14,30.79,33.01,15.12,85.07
2026-07-04 21:18:52,18.36,361.4,87.87,18.7,14.72,28.06,31.49,4.91,87.61
2026-07-04 21:26:49,18.78,423.2,101.34,20.3,18.31,29.07,32.97,0.82,88.4
2026-07-04 21:30:16,18.6,325.6,92.56,17.6,17.73,37.38,31.83,0.0,89.92
2026-07-04 21:34:24,17.86,317.6,98.8,23.5,18.51,39.19,34.28,0,90.0
2026-07-04 21:39:49,18.62,362.3,92.47,18.6,16.08,36.03,28.68,1.14,90.0
2026-07-04 21:49:06,17.46,317.0,100.83,20.7,17.93,38.17,30.38,0.84,90.0
2026-07-04 21:52:06,18.33,312.0,90.84,15.9,13.05,21.79,19.39,3.61,89.71
2026-07-04 22:01:21,18.02,303.9,105.13,16.9,20.85,34.75,29.48,2.03,89.77
2026-07-04 22:06:44,18.16,300,107.29,17.7,18.7,42.15,31.15,18.09,90.0
2026-07-04 22:13:36,17.9,300,114.33,11.3,19.79,37.33,28.29,4.9,90.0
2026-07-04 22:23:15,18.32,334.7,108.74,18.8,18.89,39.34,31.93,1.71,90.0
