timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-04 16:26:53,24.89,678.1,103.65,29.0,19.31,51.31,42.21,5.21,58.44
2026-07-04 16:31:57,24.84,784.3,86.59,21.0,18.11,43.79,38.82,10.03,52.79
2026-07-04 16:40:29,24.08,689.4,91.06,23.6,15.0,49.71,40.28,2.77,55.0
2026-07-04 16:47:35,24.68,624.1,87.34,33.3,13.75,50.47,35.1,3.28,53.92
2026-07-04 16:56:13,24.36,644.5,81.45,23.6,15.13,46.59,37.45,20.62,52.06
2026-07-04 16:58:46,23.71,693.3,92.8,20.2,16.31,52.91,35.16,12.61,53.59
2026-07-04 17:04:51,24.05,743.3,90.96,23.5,18.5,49.26,40.17,6.38,50.36
2026-07-04 17:13:01,24.01,566.5,79.87,25.3,15.83,44.42,35.49,11.52,50.42
2026-07-04 17:15:34,24.31,605.7,104.81,24.3,19.94,54.2,41.02,6.73,50.48
2026-07-04 17:20:09,24.17,769.0,94.03,27.0,20.03,59.04,40.11,10.06,51.34
2026-07-04 17:22:31,24.13,586.4,93.99,18.4,19.18,56.57,41.33,2.35,50.94
2026-07-04 17:29:08,24.12,578.7,83.56,28.1,15.54,51.08,46.02,3.97,50.92
2026-07-04 17:36:11,23.82,818.6,104.14,25.3,15.23,49.76,34.4,0.05,50.41
2026-07-04 17:45:47,24.06,534.1,89.6,27.4,11.16,42.47,34.17,5.28,53.53
2026-07-04 17:53:21,23.56,592.4,90.81,24.1,16.42,44.7,38.7,8.16,53.94
2026-07-04 18:02:42,23.52,611.3,68.53,19.7,18.41,55.51,37.87,4.98,55.41
2026-07-04 18:09:41,22.8,518.1,91.06,25.8,15.97,49.0,33.91,3.96,55.58
2026-07-04 18:16:35,23.12,518.8,78.93,24.9,17.64,48.21,38.29,2.35,57.22
2026-07-04 18:18:43,23.48,763.3,80.14,22.4,14.79,49.79,31.38,11.45,58.13
2026-07-04 18:22:45,23.49,486.0,96.0,24.7,15.37,51.13,43.89,5.29,61.34
2026-07-04 18:30:29,23.33,491.1,77.03,23.1,15.18,55.15,38.56,9.46,60.02
2026-07-04 18:33:34,23.29,548.2,74.33,22.4,16.53,50.61,37.3,4.85,60.51
2026-07-04 18:40:22,22.98,566.2,108.67,29.0,20.03,50.26,47.76,2.13,59.6
2026-07-04 18:45:48,22.97,514.6,91.83,23.1,15.32,51.44,33.92,6.31,59.78
2026-07-04 18:53:05,21.8,546.4,88.67,21.5,17.05,48.46,40.35,4.52,62.12
2026-07-04 19:01:12,22.48,531.6,99.26,25.1,16.7,49.39,36.97,5.98,62.94
2026-07-04 19:03:17,22.47,477.0,69.74,19.8,17.41,43.18,36.82,11.66,66.84
2026-07-04 19:11:28,22.73,495.4,109.85,25.9,16.59,43.03,40.53,3.85,65.87
2026-07-04 19:19:22,22.29,451.8,104.99,23.1,19.02,51.24,34.65,2.08,67.24
2026-07-04 19:24:23,22.84,571.8,112.6,20.9,17.05,55.59,39.8,3.46,65.43
2026-07-04 19:31:03,22.9,436.3,111.67,24.3,19.96,50.75,46.53,22.31,67.25
2026-07-04 19:39:32,22.14,612.5,86.53,30.0,16.19,49.46,34.22,18.22,68.13
2026-07-04 19:48:35,21.92,436.5,99.96,23.8,19.26,43.53,42.84,3.42,68.14
2026-07-04 19:53:47,21.86,453.7,100.44,19.3,19.75,49.43,43.23,12.53,71.0
2026-07-04 20:01:23,21.91,500.7,118.38,25.7,21.82,50.54,46.59,3.63,71.55
2026-07-04 20:03:42,21.79,579.1,131.46,23.7,21.27,56.06,47.32,8.81,71.97
2026-07-04 20:12:33,21.51,423.2,140.49,20.2,22.71,58.82,46.44,3.11,74.15
2026-07-04 20:21:05,21.66,411.6,119.8,24.3,19.38,48.89,47.09,3.01,75.52
2026-07-04 20:25:14,21.9,458.1,137.43,20.0,19.37,50.33,44.16,18.09,76.87
2026-07-04 20:33:29,21.42,648.3,123.48,35.7,22.39,50.68,42.54,1.75,78.08
2026-07-04 20:38:18,21.74,421.3,119.7,20.7,22.7,51.34,50.14,12.99,80.95
2026-07-04 20:42:04,21.09,453.8,132.54,24.9,25.74,54.4,45.74,0.4,84.07
2026-07-04 20:50:25,21.36,541.5,138.74,31.7,21.22,58.1,48.09,3.86,89.28
2026-07-04 20:57:18,21.03,493.9,119.44,33.5,21.2,57.03,38.68,3.13,87.72
2026-07-04 21:04:46,21.16,374.7,146.46,24.4,27.37,55.91,49.83,2.17,89.25
2026-07-04 21:08:22,21.0,422.1,126.25,29.3,20.02,55.58,47.67,11.36,90.0
2026-07-04 21:14:04,20.93,382.4,137.25,25.4,23.47,55.51,50.13,0.53,90.0
2026-07-04 21:18:37,21.33,393.1,132.72,27.3,24.89,56.25,46.86,12.57,90.0
2026-07-04 21:24:08,21.26,390.0,147.42,24.6,24.75,51.95,52.23,12.29,90.0
2026-07-04 21:27:17,20.83,670.3,131.32,21.8,21.04,54.83,44.04,0.27,89.46
2026-07-04 21:33:21,20.77,381.3,154.19,20.5,27.36,52.17,48.63,6.77,88.55
2026-07-04 21:35:55,20.75,359.4,133.95,26.8,23.92,55.29,41.05,15.08,89.03
2026-07-04 21:42:28,20.94,485.6,152.46,30.8,23.46,52.12,50.58,1.9,90.0
2026-07-04 21:48:38,21.13,547.7,143.23,22.7,23.1,52.84,47.28,0.06,90.0
2026-07-04 21:54:28,21.24,503.6,148.98,25.5,25.27,58.25,50.12,5.88,90.0
2026-07-04 21:57:24,21.02,398.2,145.3,25.2,25.22,58.92,53.7,5.95,90.0
2026-07-04 22:02:54,20.44,450.1,149.6,30.5,26.08,57.34,49.37,5.97,90.0
2026-07-04 22:06:10,21.11,428.9,133.99,25.8,22.23,54.74,43.02,10.57,90.0
2026-07-04 22:14:09,20.52,363.3,145.79,25.4,26.3,58.41,50.58,2.11,88.97
2026-07-04 22:16:12,20.09,398.8,143.75,29.9,25.04,50.19,49.95,1.51,90.0
2026-07-04 22:20:07,21.03,437.7,158.02,22.2,26.49,62.08,48.59,0.13,90.0
2026-07-04 22:26:34,20.57,563.8,161.39,19.4,31.89,63.13,51.64,0.65,90.0
2026-07-04 22:35:13,20.28,399.2,147.91,22.4,29.28,58.79,58.47,10.53,88.37
2026-07-04 22:43:32,21.0,349.6,142.8,25.0,26.98,57.61,49.15,9.38,90.0
2026-07-04 22:47:04,20.39,359.9,159.16,27.1,28.63,57.57,51.2,1.96,90.0
2026-07-04 22:51:42,20.43,388.8,161.0,21.5,28.92,67.54,52.82,0.38,90.0
2026-07-04 23:01:30,20.56,386.1,153.49,26.1,25.56,57.48,54.19,7.44,90.0
2026-07-04 23:06:43,20.2,380.6,154.66,24.8,24.47,55.33,47.91,10.0,90.0
2026-07-04 23:13:31,20.68,345.1,157.85,29.1,28.49,60.35,59.47,8.9,90.0
2026-07-04 23:23:01,20.65,451.8,156.33,29.5,23.43,43.28,53.48,3.07,90.0
2026-07-04 23:29:14,20.6,363.7,147.56,21.8,24.68,59.25,46.45,10.95,89.42
2026-07-04 23:31:17,20.12,398.9,152.75,20.4,26.65,64.38,52.77,5.01,89.37
2026-07-04 23:33:55,20.57,419.6,152.5,15.9,27.15,55.43,50.32,9.76,90.0
2026-07-04 23:41:16,19.73,365.3,163.79,22.3,27.26,59.63,55.36,11.55,90.0
2026-07-04 23:46:39,20.75,338.8,164.96,13.7,29.99,64.14,58.46,0,90.0
2026-07-04 23:51:45,20.29,338.0,153.16,24.7,26.06,56.03,50.01,2.19,90.0
2026-07-04 23:58:36,20.66,366.3,162.67,24.4,29.79,62.04,58.7,5.99,90.0
2026-07-05 00:03:03,21.0,342.4,157.42,28.8,26.14,53.3,51.08,9.42,90.0
2026-07-05 00:10:45,20.29,416.7,144.05,19.0,25.45,59.56,49.35,4.41,90.0
2026-07-05 00:19:24,20.4,422.3,144.76,23.0,22.28,48.96,46.45,3.16,90.0
2026-07-05 00:27:21,19.92,365.8,148.72,22.9,26.86,53.81,52.99,2.24,90.0
2026-07-05 00:34:10,20.87,376.4,147.52,25.0,25.4,59.04,51.9,2.12,90.0
2026-07-05 00:39:47,20.56,409.8,143.24,21.4,29.2,55.37,55.89,2.34,90.0
2026-07-05 00:46:28,20.51,387.6,160.1,20.6,24.85,57.72,48.56,1.41,90.0
2026-07-05 00:50:05,21.13,427.5,155.66,32.0,26.15,55.1,58.35,3.44,90.0
2026-07-05 00:59:52,20.31,368.9,154.3,28.5,25.85,56.64,57.01,9.6,90.0
2026-07-05 01:02:44,20.83,480.3,162.22,28.8,29.43,62.6,58.95,4.34,90.0
2026-07-05 01:10:09,20.15,408.3,149.34,13.9,25.55,59.19,47.07,17.87,89.63
2026-07-05 01:13:41,20.73,355.6,166.05,17.4,30.62,67.59,59.2,1.42,90.0
2026-07-05 01:17:13,20.29,378.3,154.57,30.0,28.21,59.93,53.8,7.6,90.0
2026-07-05 01:26:57,20.89,359.6,141.52,17.8,20.85,53.39,45.32,23.26,90.0
2026-07-05 01:29:47,20.91,369.4,151.05,19.0,26.36,59.37,52.26,4.25,90.0
2026-07-05 01:37:15,20.45,353.3,151.73,19.8,25.76,58.67,53.26,4.11,87.93
2026-07-05 01:43:44,21.16,381.0,161.88,25.5,27.15,55.77,50.4,12.1,90.0
2026-07-05 01:53:06,20.92,409.9,140.13,29.1,22.39,51.18,48.31,14.73,90.0
2026-07-05 02:00:17,20.78,577.7,140.03,22.4,23.12,58.61,52.04,9.33,90.0
2026-07-05 02:03:46,21.02,490.8,156.36,28.5,27.34,59.2,56.43,23.63,90.0
2026-07-05 02:12:19,20.92,421.8,129.46,13.3,21.36,52.58,42.2,0,90.0
2026-07-05 02:19:10,20.21,449.0,140.1,21.3,25.01,58.45,48.59,1.88,90.0
2026-07-05 02:26:38,21.21,388.0,126.09,15.3,24.37,56.52,46.56,8.59,90.0
2026-07-05 02:34:49,20.91,1141.9,143.0,16.8,25.36,53.48,55.57,0.68,87.78
2026-07-05 02:40:39,21.16,416.4,150.64,22.5,26.2,55.51,49.0,12.0,89.92
2026-07-05 02:50:22,21.63,404.1,124.32,25.2,22.91,48.1,51.81,9.04,90.0
2026-07-05 02:55:39,21.56,527.1,146.51,27.8,26.52,54.89,50.28,4.38,90.0
2026-07-05 03:01:43,21.55,417.0,147.58,25.5,24.9,52.07,49.79,4.63,90.0
2026-07-05 03:04:10,21.26,581.4,135.65,19.9,21.24,51.6,45.45,1.99,90.0
2026-07-05 03:11:54,21.63,396.5,130.76,22.8,19.58,55.12,48.9,2.24,89.85
2026-07-05 03:15:29,21.92,549.3,137.74,24.5,26.05,59.94,50.69,25.55,90.0
2026-07-05 03:18:47,22.07,473.6,130.55,26.4,23.42,61.61,50.32,6.35,90.0
2026-07-05 03:21:47,21.51,430.7,118.68,24.6,20.06,47.3,42.11,19.57,90.0
2026-07-05 03:26:00,22.24,445.5,135.03,17.4,21.46,53.43,47.96,3.22,90.0
2026-07-05 03:34:25,21.9,416.6,128.95,26.3,20.05,54.47,44.94,12.56,89.53
