timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-06 20:27:32,19.6,292.6,83.13,29.1,11.43,25.38,20.16,1.85,46.37
2026-07-06 20:37:59,18.91,218.5,76.36,29.1,11.48,26.59,18.45,7.22,43.79
2026-07-06 20:50:52,19.52,265.2,83.28,17.0,8.6,18.54,19.49,14.75,44.8
2026-07-06 20:58:15,20.93,243.9,94.44,36.6,12.15,23.84,11.17,0.58,49.98
2026-07-06 21:07:31,19.28,230.5,109.41,22.4,7.05,27.18,13.22,4.96,46.22
2026-07-06 21:21:25,19.97,189.8,111.23,15.7,10.2,31.87,15.57,21.12,48.24
2026-07-06 21:35:41,19.0,219.3,103.51,5.1,7.01,20.4,10.48,3.93,46.47
2026-07-06 21:46:30,19.14,233.7,111.54,26.0,12.04,29.18,19.11,2.06,46.51
2026-07-06 21:59:14,20.38,170.7,113.47,6.9,14.79,20.6,19.66,7.7,44.42
2026-07-06 22:10:10,19.06,160.6,109.23,21.8,15.36,27.12,18.33,8.04,43.53
2026-07-06 22:23:38,19.59,215.8,93.01,23.8,13.97,27.26,9.93,0.33,45.39
2026-07-06 22:28:48,19.41,208.1,110.34,33.4,12.21,21.2,13.94,7.44,48.56
2026-07-06 22:39:50,19.83,199.0,108.3,19.8,12.22,31.03,15.49,4.2,47.16
2026-07-06 22:46:39,19.83,136.0,107.3,21.7,7.87,24.31,17.63,1.27,40.94
2026-07-06 23:01:18,19.04,208.7,123.37,6.5,13.63,22.71,8.62,5.68,44.38
2026-07-06 23:15:44,18.82,171.7,105.52,15.9,16.89,27.44,11.85,10.34,44.4
2026-07-06 23:29:15,19.48,130.5,100.04,37.9,9.57,25.14,16.01,0.54,43.12
2026-07-06 23:34:20,18.3,168.6,94.83,35.6,3.93,24.1,21.48,2.87,45.74
2026-07-06 23:45:21,19.23,148.6,115.34,8.9,6.31,25.15,11.63,1.45,45.48
2026-07-06 23:56:05,18.94,114.5,119.16,5.8,7.84,13.21,17.47,1.16,41.51
