timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-08 14:21:43,24.09,864.2,91.78,11.6,15.56,35.44,33.98,0,44.41
2026-07-08 14:27:57,24.44,963.7,99.4,12.7,20.51,40.61,37.38,6.37,43.33
2026-07-08 14:33:50,24.49,864.5,87.41,15.0,16.12,38.79,32.48,4.75,37.3
2026-07-08 14:42:20,24.59,896.0,98.32,0,21.68,35.48,36.85,1.51,36.35
2026-07-08 14:44:39,24.53,824.2,71.84,13.1,13.91,36.34,31.01,6.51,35.68
2026-07-08 14:49:14,24.87,767.3,94.23,7.0,17.49,42.97,27.25,1.51,32.56
2026-07-08 14:55:43,24.38,900.3,78.42,14.7,13.67,31.65,31.35,1.79,30.04
2026-07-08 15:00:48,24.75,951.1,81.2,10.7,14.86,38.22,28.93,10.39,28.23
2026-07-08 15:07:21,24.04,756.9,75.44,11.5,15.08,37.34,25.7,3.41,27.41
2026-07-08 15:11:26,23.92,850.4,106.15,18.6,15.21,39.86,29.36,0.23,28.92
2026-07-08 15:18:17,24.74,966.7,70.13,9.7,17.92,38.23,35.46,3.42,25.07
2026-07-08 15:21:04,23.64,823.5,86.07,10.9,15.52,36.72,31.2,3.44,26.41
2026-07-08 15:26:00,24.37,737.9,81.79,16.0,14.96,32.18,24.12,0.3,25.26
2026-07-08 15:33:16,24.24,1091.3,74.31,9.1,15.21,41.89,26.58,1.8,23.89
2026-07-08 15:37:35,24.02,698.7,70.77,17.8,11.69,26.88,24.58,0.22,21.34
2026-07-08 15:45:13,24.14,724.3,82.37,13.5,14.56,29.71,26.81,2.19,20.07
2026-07-08 15:48:38,23.73,682.9,91.93,16.0,19.65,39.68,33.45,2.91,20.0
2026-07-08 15:52:38,23.28,805.9,70.1,11.1,16.93,33.03,31.02,2.83,20.44
2026-07-08 15:56:01,23.52,689.5,58.41,16.1,12.08,31.11,18.83,1.71,22.16
2026-07-08 16:05:13,23.48,683.9,91.8,13.8,20.41,37.72,33.93,1.87,22.21
2026-07-08 16:08:55,23.42,720.4,67.56,14.9,11.1,32.93,29.04,1.92,22.08
2026-07-08 16:17:32,22.71,645.6,78.59,13.4,14.69,33.96,28.51,0,22.4
2026-07-08 16:24:12,23.05,651.5,47.24,16.5,9.48,30.49,24.18,2.05,23.14
2026-07-08 16:29:27,23.55,659.5,72.35,16.6,11.76,38.74,22.85,3.15,23.37
2026-07-08 16:35:23,23.27,676.4,58.4,17.0,12.95,34.64,28.14,1.66,22.99
2026-07-08 16:42:34,22.63,625.2,66.7,11.5,14.37,34.14,28.85,40.0,25.67
2026-07-08 16:45:47,22.86,632.3,66.59,21.1,11.95,41.09,20.17,2.62,25.51
2026-07-08 16:52:47,22.73,612.5,56.05,16.0,10.3,29.21,23.49,6.15,25.57
2026-07-08 16:59:24,22.75,598.5,43.34,18.4,12.63,34.04,26.43,3.55,26.79
2026-07-08 17:05:05,22.51,602.1,64.0,12.0,12.46,32.63,34.2,0.84,28.07
2026-07-08 17:12:36,22.36,662.5,60.55,12.3,12.65,34.24,21.68,2.28,28.61
2026-07-08 17:14:50,22.1,684.2,49.66,24.2,8.47,27.91,23.83,3.27,29.63
2026-07-08 17:23:14,22.9,823.9,39.4,19.6,10.04,33.83,26.7,5.82,31.11
2026-07-08 17:30:25,22.27,876.3,59.1,23.3,10.47,34.21,22.99,7.4,33.07
2026-07-08 17:36:06,22.73,558.6,51.62,15.4,10.12,30.38,22.64,14.23,32.97
2026-07-08 17:38:43,21.98,544.4,42.61,12.5,10.24,28.35,22.97,7.5,34.67
2026-07-08 17:43:03,22.15,633.7,47.72,12.9,10.22,30.4,25.94,1.36,35.43
2026-07-08 17:45:25,21.9,537.3,32.52,15.0,12.18,42.39,24.8,3.35,37.55
2026-07-08 17:48:02,22.54,716.4,62.22,23.9,12.63,32.55,29.64,1.2,39.16
2026-07-08 17:57:34,22.4,543.7,48.08,11.9,10.67,32.4,17.51,2.99,40.08
2026-07-08 18:04:38,21.13,481.8,41.89,7.8,12.59,36.09,25.08,2.1,39.12
2026-07-08 18:13:38,22.42,515.5,43.5,20.7,10.18,30.23,23.78,6.69,42.91
2026-07-08 18:20:48,22.78,501.3,51.2,14.7,12.47,27.37,25.25,1.61,46.48
2026-07-08 18:29:12,21.68,523.7,46.12,20.8,9.26,23.85,18.19,2.25,46.02
2026-07-08 18:33:31,21.74,556.5,43.3,14.4,9.81,28.61,14.26,0.25,47.31
2026-07-08 18:43:02,21.34,460.1,74.89,16.9,12.92,24.86,31.21,1.79,49.22
2026-07-08 18:51:01,21.41,444.3,54.23,15.8,10.22,30.96,21.1,0,51.06
2026-07-08 19:00:05,21.07,474.4,52.0,19.7,6.93,30.71,20.88,2.35,52.13
2026-07-08 19:02:43,21.47,458.5,88.24,8.9,16.75,36.16,36.58,1.74,55.3
2026-07-08 19:11:20,21.34,571.9,77.89,14.4,17.36,35.13,30.22,0.83,55.57
2026-07-08 19:17:19,20.73,552.6,62.65,14.7,14.51,28.95,30.41,2.14,54.99
2026-07-08 19:20:31,21.02,619.6,70.66,13.2,13.6,25.84,25.57,9.58,56.82
2026-07-08 19:24:09,21.0,551.6,77.15,21.0,14.84,34.06,28.15,1.88,58.28
2026-07-08 19:30:20,21.46,452.8,58.31,18.3,11.88,36.38,28.65,0,57.5
2026-07-08 19:36:02,20.84,424.7,62.39,22.6,9.82,31.5,25.45,4.15,57.96
2026-07-08 19:43:17,20.65,519.6,59.08,17.2,13.64,33.49,21.03,0.0,59.45
2026-07-08 19:47:41,20.49,446.1,69.61,7.4,13.93,30.71,27.41,10.31,59.3
2026-07-08 19:57:31,21.01,480.1,67.88,18.8,17.03,41.78,37.12,0,61.14
2026-07-08 20:03:35,20.61,394.1,83.86,13.1,17.93,33.61,36.16,2.11,62.03
2026-07-08 20:08:15,20.32,440.7,100.33,25.2,15.08,35.42,30.32,5.2,62.57
2026-07-08 20:15:48,20.47,409.6,106.6,14.2,20.05,32.5,34.49,2.91,62.22
2026-07-08 20:20:04,20.28,590.1,99.98,15.1,16.74,37.17,26.68,18.5,62.98
2026-07-08 20:26:03,20.19,528.0,96.26,19.1,13.78,34.69,29.26,2.65,65.83
2026-07-08 20:29:36,20.17,534.8,110.62,18.9,18.85,42.15,37.3,0.19,66.6
2026-07-08 20:34:20,20.42,491.9,91.01,18.9,17.15,38.07,33.02,3.91,69.48
2026-07-08 20:41:12,19.98,460.9,107.67,20.0,20.99,41.04,29.23,2.5,67.73
2026-07-08 20:43:45,20.16,451.4,85.76,18.2,17.97,38.08,31.37,5.41,69.29
2026-07-08 20:46:53,20.36,606.5,100.82,5.0,17.88,38.66,32.3,1.31,70.89
2026-07-08 20:52:33,19.69,528.9,108.73,17.1,19.17,36.22,30.72,2.39,75.47
2026-07-08 21:01:07,19.7,388.5,93.35,10.1,17.39,36.72,38.4,0.19,77.17
2026-07-08 21:04:09,19.78,540.6,100.57,9.4,19.03,41.06,32.63,4.36,76.95
2026-07-08 21:09:08,19.39,506.4,102.46,13.1,17.68,37.81,29.64,2.32,77.46
2026-07-08 21:11:46,19.73,358.2,111.5,17.2,19.92,37.6,36.52,6.5,79.66
2026-07-08 21:20:07,19.74,408.7,120.47,8.7,20.68,34.2,32.92,12.51,78.42
2026-07-08 21:23:44,19.4,414.7,119.59,11.6,20.64,42.95,37.88,0.82,79.02
2026-07-08 21:31:49,19.61,411.1,101.2,17.8,21.02,45.29,36.52,1.79,80.94
2026-07-08 21:40:31,18.72,514.4,96.62,17.0,19.15,38.69,34.06,3.36,84.59
2026-07-08 21:46:11,18.97,469.0,120.78,15.8,21.35,38.51,37.32,8.69,85.04
2026-07-08 21:54:02,19.52,367.6,105.02,13.9,18.02,35.85,38.28,3.14,85.38
2026-07-08 21:58:56,19.09,340.2,103.45,22.7,20.51,40.83,34.08,2.87,86.93
2026-07-08 22:07:11,19.12,525.6,120.56,14.8,19.62,45.52,35.14,0.39,87.83
2026-07-08 22:16:39,19.18,323.9,122.11,22.4,24.08,52.34,39.05,2.79,88.62
2026-07-08 22:25:27,19.46,411.8,109.47,21.4,19.55,40.21,34.5,6.05,90.0
2026-07-08 22:33:25,19.08,365.2,101.74,6.1,17.97,37.4,38.18,1.23,90.0
2026-07-08 22:42:50,19.37,356.9,121.85,13.2,20.75,38.85,35.87,2.63,90.0
2026-07-08 22:49:29,18.89,323.3,94.95,14.8,15.51,30.96,32.48,5.25,90.0
2026-07-08 22:56:02,18.96,329.2,117.76,7.4,22.99,41.57,40.89,4.22,90.0
2026-07-08 23:01:28,19.11,402.1,123.79,16.3,23.98,37.56,39.95,2.32,89.16
2026-07-08 23:07:59,18.93,326.5,114.36,14.1,19.58,39.07,33.36,0.86,90.0
2026-07-08 23:11:10,19.37,476.5,114.39,13.3,18.32,37.13,32.22,6.62,90.0
2026-07-08 23:14:37,19.4,334.9,131.39,7.5,25.58,38.21,42.26,0.9,90.0
2026-07-08 23:18:30,19.46,490.3,113.22,12.6,20.5,47.4,37.11,3.36,90.0
2026-07-08 23:25:30,18.22,713.5,131.6,22.4,20.42,39.24,38.78,21.4,89.22
2026-07-08 23:31:17,18.57,436.8,108.38,16.4,22.82,46.82,37.34,5.17,90.0
2026-07-08 23:36:13,18.27,387.4,114.57,12.1,19.55,37.73,32.18,0.41,90.0
2026-07-08 23:40:45,19.18,338.0,119.83,8.3,25.16,48.44,39.2,1.41,90.0
2026-07-08 23:47:27,18.32,337.1,128.09,11.2,22.88,40.16,39.13,6.36,90.0
2026-07-08 23:50:11,18.87,331.6,129.69,6.6,21.36,45.36,32.05,22.54,90.0
2026-07-08 23:58:56,19.18,442.8,118.21,10.8,22.31,38.13,40.15,3.54,90.0
2026-07-09 00:04:43,19.14,362.7,117.59,6.1,23.62,46.06,43.55,5.62,90.0
2026-07-09 00:10:48,18.65,382.1,115.26,15.5,20.39,40.58,34.96,7.09,90.0
2026-07-09 00:19:07,18.84,386.7,124.56,6.9,19.15,40.77,40.12,12.51,88.62
2026-07-09 00:23:51,18.8,335.5,122.59,17.6,22.62,38.75,40.58,1.61,90.0
2026-07-09 00:30:53,18.88,457.2,116.98,10.5,22.31,36.52,35.05,9.15,90.0
2026-07-09 00:34:26,19.05,328.4,104.85,13.4,17.63,32.39,31.78,27.74,90.0
2026-07-09 00:40:00,19.18,478.0,124.22,9.4,19.32,35.7,26.26,1.28,89.36
2026-07-09 00:45:55,19.08,327.0,116.15,14.1,21.35,41.75,38.44,5.23,90.0
2026-07-09 00:52:54,18.81,355.4,123.88,15.7,17.67,41.82,35.9,6.21,90.0
2026-07-09 00:59:52,19.06,345.3,138.01,10.8,22.53,40.9,36.68,3.89,90.0
2026-07-09 01:04:07,19.36,620.8,139.06,15.8,24.67,49.17,39.68,9.17,89.26
2026-07-09 01:08:56,18.72,394.0,129.48,13.6,25.52,37.27,38.35,11.32,90.0
2026-07-09 01:16:20,19.27,348.2,115.2,9.6,21.7,39.75,31.99,3.89,90.0
2026-07-09 01:21:54,19.44,355.6,118.9,11.0,19.8,40.33,34.05,2.41,90.0
2026-07-09 01:28:04,19.66,421.0,122.3,11.7,20.76,37.53,38.35,1.36,89.03
2026-07-09 01:32:09,19.28,359.0,114.75,9.8,21.57,42.26,42.62,3.29,90.0
2026-07-09 01:40:33,19.31,349.6,108.99,8.7,18.66,35.29,31.7,3.22,90.0
2026-07-09 01:47:20,19.47,487.9,93.91,11.9,17.77,38.96,31.25,5.69,90.0
2026-07-09 01:52:22,19.64,348.5,112.02,13.4,20.0,38.89,40.58,2.41,89.47
2026-07-09 01:54:49,20.17,381.9,109.83,19.0,16.36,41.08,34.39,7.07,90.0
2026-07-09 01:59:03,18.88,349.2,101.16,12.0,19.9,43.09,32.0,0.9,89.73
2026-07-09 02:02:34,19.44,400.1,116.8,7.8,18.87,37.52,35.56,4.33,89.61
2026-07-09 02:07:37,19.75,380.6,101.17,15.1,18.61,39.33,34.21,7.15,90.0
2026-07-09 02:10:39,19.32,374.3,101.9,12.9,20.46,42.44,36.87,1.77,90.0
2026-07-09 02:15:55,19.53,359.2,109.52,20.0,18.15,35.87,31.91,1.82,88.55
2026-07-09 02:25:32,19.5,389.5,90.16,17.9,14.27,42.65,36.16,1.62,88.5
2026-07-09 02:31:19,19.67,426.0,120.18,13.4,23.67,37.53,39.75,1.49,90.0
2026-07-09 02:39:12,19.16,441.6,100.51,16.5,17.27,45.52,32.69,2.81,89.23
2026-07-09 02:45:33,19.93,396.6,112.53,17.0,18.94,44.94,43.77,21.97,90.0
2026-07-09 02:52:18,20.41,405.3,114.02,17.1,19.27,44.5,36.93,14.59,87.01
2026-07-09 02:57:02,20.26,396.0,111.42,20.5,24.08,42.42,39.49,7.53,88.51
2026-07-09 03:04:28,20.25,435.2,106.77,16.0,22.86,48.07,33.3,2.84,89.49
2026-07-09 03:11:02,20.18,645.5,108.38,15.6,18.82,45.61,35.4,0.58,90.0
2026-07-09 03:14:24,20.11,471.2,82.49,10.9,18.34,35.33,32.42,5.95,90.0
2026-07-09 03:19:54,19.99,397.8,100.96,12.6,18.93,44.49,37.86,4.65,89.18
2026-07-09 03:26:15,20.45,485.3,109.07,9.4,18.39,40.47,31.17,1.59,89.18
2026-07-09 03:29:29,20.85,519.9,98.05,14.7,17.28,31.13,35.38,2.51,87.94
2026-07-09 03:37:52,20.67,427.3,96.91,16.9,17.95,43.69,32.43,3.99,88.21
2026-07-09 03:40:02,20.76,398.1,102.15,18.5,19.7,30.94,30.73,2.35,90.0
2026-07-09 03:45:46,20.5,432.2,101.78,11.6,18.13,40.63,41.58,1.02,89.79
2026-07-09 03:53:15,19.78,425.7,95.54,10.5,18.16,37.06,34.2,4.78,89.27
2026-07-09 04:02:33,20.44,500.3,78.87,10.5,15.76,32.02,30.87,3.08,90.0
2026-07-09 04:05:37,20.26,504.5,102.8,11.6,21.05,38.73,30.22,4.78,89.6
2026-07-09 04:09:22,21.06,403.8,110.23,10.8,21.29,33.52,37.51,2.44,88.74
2026-07-09 04:14:07,21.16,504.2,80.66,11.6,19.65,33.0,33.48,0.61,86.97
2026-07-09 04:21:10,21.51,513.9,80.14,18.1,15.57,31.18,32.16,6.21,85.8
2026-07-09 04:24:30,21.44,508.7,80.56,17.8,16.34,31.46,29.78,1.53,85.65
2026-07-09 04:29:32,20.92,587.1,66.85,12.3,12.92,39.62,30.79,0,82.8
2026-07-09 04:38:41,21.17,511.3,66.43,15.1,15.69,33.24,29.79,4.1,83.04
2026-07-09 04:48:31,21.33,450.4,77.54,11.7,18.12,42.77,31.67,1.97,82.19
2026-07-09 04:53:44,22.04,510.0,75.93,5.5,13.6,40.7,27.34,4.87,80.86
2026-07-09 04:59:55,21.29,548.5,84.4,18.7,15.77,35.94,29.47,1.58,81.63
2026-07-09 05:04:06,21.41,469.5,79.6,10.3,18.66,36.27,33.77,7.39,82.2
2026-07-09 05:13:45,21.47,585.5,71.91,14.5,16.14,39.03,29.59,0.95,81.17
2026-07-09 05:17:14,22.15,536.2,84.13,10.6,20.17,42.3,36.68,4.97,79.78
2026-07-09 05:22:51,21.94,669.5,41.71,12.4,13.87,37.64,26.89,2.53,77.52
2026-07-09 05:26:00,22.35,596.8,60.18,14.8,10.7,31.95,24.42,2.8,79.36
2026-07-09 05:32:06,22.21,478.1,70.11,12.8,16.07,38.68,37.05,0.79,78.14
2026-07-09 05:42:05,22.01,814.9,42.1,12.7,8.63,26.67,23.55,6.03,73.32
2026-07-09 05:51:42,21.96,603.4,71.31,7.4,12.2,26.74,27.73,5.47,71.62
2026-07-09 05:59:43,22.15,508.1,67.07,10.0,15.5,37.76,29.39,3.63,72.61
2026-07-09 06:08:02,22.87,594.0,35.62,19.9,10.83,32.19,28.23,0.28,71.79
2026-07-09 06:14:44,22.61,576.9,53.72,15.4,13.27,38.1,24.01,1.14,70.48
2026-07-09 06:21:26,22.58,623.7,62.71,14.3,12.45,31.31,29.73,3.21,68.53
2026-07-09 06:26:23,23.09,558.2,65.15,20.6,12.9,36.44,28.24,3.29,65.48
2026-07-09 06:33:43,22.63,532.1,41.21,17.0,9.51,26.9,23.5,8.66,64.69
2026-07-09 06:42:47,23.21,773.9,49.73,14.8,6.27,30.41,26.91,0.15,61.81
2026-07-09 06:46:02,23.37,578.7,45.34,11.8,14.92,33.26,29.51,2.97,60.71
2026-07-09 06:51:03,22.66,1036.5,61.52,12.4,13.89,39.91,29.6,2.96,59.46
2026-07-09 06:56:58,22.89,616.3,64.62,8.6,11.96,30.07,21.56,5.84,56.1
2026-07-09 07:06:55,23.18,772.7,69.2,8.9,17.31,32.61,28.88,2.0,56.98
2026-07-09 07:14:19,23.55,655.1,59.5,18.6,9.83,33.21,25.16,1.08,56.16
2026-07-09 07:23:29,23.23,769.4,70.5,13.9,12.93,28.5,21.31,7.22,52.95
2026-07-09 07:31:10,23.06,683.4,72.11,13.1,11.57,33.72,25.8,10.1,49.79
2026-07-09 07:35:54,22.98,693.4,67.34,16.6,10.64,33.92,28.1,1.3,48.69
2026-07-09 07:38:57,23.98,705.3,93.19,17.2,18.92,33.32,39.74,6.56,45.81
2026-07-09 07:41:29,23.86,784.1,57.84,23.0,12.39,36.62,23.78,2.09,45.88
2026-07-09 07:50:26,23.82,842.3,67.07,22.0,15.44,42.71,33.42,4.28,41.47
2026-07-09 07:56:21,24.04,711.1,70.96,9.1,12.22,32.98,27.14,2.43,39.05
2026-07-09 08:04:52,24.08,701.0,82.24,9.0,12.22,36.38,29.2,0.3,37.45
2026-07-09 08:08:37,24.22,789.9,82.5,16.3,16.56,45.92,35.04,11.87,35.44
2026-07-09 08:12:45,24.1,857.2,93.04,21.1,19.24,50.64,34.23,2.04,31.13
2026-07-09 08:15:02,23.86,737.6,96.17,16.8,18.68,41.2,36.46,0.31,29.27
2026-07-09 08:20:43,23.48,827.6,66.48,16.9,17.1,34.51,30.65,10.29,28.67
2026-07-09 08:24:56,24.11,742.9,75.95,12.6,14.85,30.64,32.66,0.14,26.85
2026-07-09 08:34:45,24.59,714.9,86.63,14.0,15.1,29.5,31.43,3.47,30.11
2026-07-09 08:42:15,24.54,824.1,81.06,14.1,16.85,39.26,31.81,0.92,28.78
2026-07-09 08:45:36,24.61,731.6,84.16,9.0,13.29,28.75,28.09,5.66,26.64
2026-07-09 08:50:12,24.67,771.5,91.06,12.8,15.96,31.67,32.83,1.03,25.43
2026-07-09 08:57:28,24.67,762.4,68.05,16.8,13.17,32.46,29.8,4.95,23.78
2026-07-09 08:59:28,24.61,788.5,75.63,8.5,15.82,41.79,34.78,3.44,20.66
2026-07-09 09:05:10,24.65,975.8,78.17,14.4,14.63,31.43,27.59,4.06,20.0
2026-07-09 09:09:28,24.41,849.7,77.91,18.1,13.05,38.75,31.83,1.7,20.72
2026-07-09 09:14:23,24.71,828.3,81.66,23.7,20.12,38.02,36.49,2.37,22.56
2026-07-09 09:21:59,25.29,843.8,90.89,16.2,16.13,38.92,32.35,1.33,21.92
2026-07-09 09:24:51,24.26,764.7,87.74,9.0,15.51,39.13,30.64,16.87,23.16
2026-07-09 09:27:24,25.06,824.0,86.16,20.0,18.45,41.48,26.66,9.81,20.0
2026-07-09 09:34:09,24.88,814.1,72.01,19.3,10.6,36.69,28.08,9.75,20.86
2026-07-09 09:37:43,26.12,858.9,105.74,18.6,19.02,37.74,36.57,12.4,20.0
2026-07-09 09:46:18,24.61,836.9,89.61,16.7,14.96,32.66,28.77,2.4,20.0
2026-07-09 09:49:55,24.46,803.7,89.35,10.9,19.25,41.16,34.22,1.42,20.0
2026-07-09 09:54:12,24.82,808.1,99.98,15.1,15.41,28.72,25.28,8.95,21.07
2026-07-09 10:01:43,25.44,841.6,86.26,16.3,18.01,37.59,35.17,3.08,20.0
2026-07-09 10:07:06,24.89,894.3,91.31,10.2,14.83,32.48,33.31,3.03,20.0
2026-07-09 10:14:23,24.89,1188.7,99.29,12.3,14.7,44.19,31.57,4.62,20.0
2026-07-09 10:20:10,25.02,864.2,99.2,13.2,20.57,40.85,39.7,3.6,20.0
2026-07-09 10:26:14,25.5,898.2,100.14,24.1,17.4,47.38,32.47,5.21,20.0
2026-07-09 10:32:22,24.94,978.7,117.31,14.6,22.67,46.06,43.44,5.58,20.0
2026-07-09 10:42:00,25.68,930.0,99.67,14.5,21.75,35.93,40.25,1.27,20.0
2026-07-09 10:49:58,25.57,865.5,104.93,14.7,20.92,48.53,38.02,1.86,20.0
2026-07-09 10:57:03,25.25,960.5,85.23,19.6,16.88,35.78,32.47,5.09,20.0
2026-07-09 11:03:17,25.29,1048.8,104.76,18.0,18.33,37.49,34.6,4.06,20.0
2026-07-09 11:11:17,25.33,870.4,91.84,10.7,19.14,37.99,34.64,8.52,20.0
2026-07-09 11:13:59,25.21,1020.3,80.08,10.0,8.28,33.9,28.7,9.31,20.0
2026-07-09 11:23:35,25.4,1132.6,115.08,11.3,22.95,48.36,39.13,7.33,20.0
2026-07-09 11:31:29,25.66,907.6,93.22,9.2,17.03,45.96,31.31,0.56,20.78
2026-07-09 11:41:18,26.04,898.8,104.29,18.2,17.84,41.23,38.43,4.79,20.15
2026-07-09 11:48:02,24.72,861.6,100.17,11.4,16.53,37.89,33.43,0,20.0
2026-07-09 11:55:39,25.66,968.8,100.07,20.2,20.44,53.6,34.97,1.07,20.0
2026-07-09 11:58:48,25.79,954.0,85.85,12.8,16.0,39.29,29.7,2.4,20.0
2026-07-09 12:01:39,25.82,1130.2,104.84,22.2,17.5,47.16,35.37,0.44,20.0
2026-07-09 12:06:41,25.42,935.3,119.1,12.1,21.33,47.7,35.63,2.07,20.0
2026-07-09 12:14:34,26.06,955.6,90.22,12.0,18.88,42.8,34.11,0.09,20.0
2026-07-09 12:23:09,24.8,891.2,99.59,17.3,14.1,39.99,31.03,3.8,20.42
2026-07-09 12:29:49,25.56,865.5,76.73,17.0,15.65,42.79,34.05,0.64,20.0
2026-07-09 12:36:25,24.83,916.1,112.55,13.4,24.09,43.59,40.69,4.54,20.0
2026-07-09 12:41:48,24.88,869.2,104.59,11.8,18.46,38.11,37.35,1.76,20.0
2026-07-09 12:51:46,25.16,977.3,92.52,13.8,16.7,38.36,35.7,1.09,20.0
2026-07-09 12:55:39,25.03,962.9,114.82,18.2,22.47,43.11,38.56,1.7,22.17
2026-07-09 13:00:11,25.68,908.7,100.53,11.4,17.88,41.36,30.37,1.48,21.37
2026-07-09 13:04:03,25.47,1155.1,103.59,20.6,20.15,42.3,42.32,15.21,20.9
2026-07-09 13:12:31,25.73,871.7,96.64,17.2,17.27,40.29,31.37,1.5,20.0
