timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-04 16:30:36,24.8,658.9,96.26,29.6,16.9,51.8,37.95,25.14,57.24
2026-07-04 16:39:30,24.18,604.7,89.01,21.9,15.15,51.76,40.9,0.53,55.94
2026-07-04 16:41:56,24.94,627.2,118.47,20.4,16.78,53.62,38.97,6.65,56.16
2026-07-04 16:43:59,24.24,642.3,94.57,21.8,16.79,47.03,40.89,10.99,56.39
2026-07-04 16:53:02,24.12,607.7,95.99,27.3,17.32,48.24,37.21,18.67,55.31
2026-07-04 16:58:48,24.74,601.3,90.71,20.6,19.79,49.96,45.82,8.03,53.32
2026-07-04 17:08:26,24.02,715.6,96.53,21.3,20.27,46.62,44.46,1.32,53.29
2026-07-04 17:13:13,24.32,562.9,89.05,19.4,15.54,50.95,37.51,6.99,52.0
2026-07-04 17:15:28,24.22,542.0,87.25,25.8,15.13,44.71,37.86,0.33,52.09
2026-07-04 17:20:22,24.14,568.5,68.62,27.5,16.97,45.99,39.5,21.71,52.77
2026-07-04 17:24:09,23.65,566.9,91.38,29.4,18.81,41.14,39.88,8.68,52.86
2026-07-04 17:28:51,24.28,637.5,92.78,27.3,15.64,45.09,39.37,15.78,53.26
2026-07-04 17:36:37,23.56,573.6,80.54,23.1,12.16,48.44,35.7,1.97,54.35
2026-07-04 17:40:35,23.73,533.5,88.26,25.3,18.76,54.14,41.12,13.8,54.47
2026-07-04 17:49:36,23.5,696.0,85.38,20.7,17.15,49.8,45.26,4.24,54.61
2026-07-04 17:55:03,23.62,636.0,87.56,23.3,16.32,46.52,35.19,5.0,54.11
2026-07-04 17:58:00,23.18,558.9,80.61,22.2,15.89,52.35,40.99,6.53,53.12
2026-07-04 18:05:00,23.38,538.3,103.89,32.2,17.9,47.03,43.98,14.71,55.49
2026-07-04 18:11:27,23.35,502.8,87.53,25.2,15.71,50.43,45.7,4.62,55.17
2026-07-04 18:18:24,23.55,494.4,85.64,25.7,16.11,51.73,38.34,2.94,56.86
2026-07-04 18:27:48,22.9,523.8,89.32,21.6,16.52,48.69,37.25,18.2,55.16
2026-07-04 18:30:03,23.67,480.0,106.52,32.3,17.78,47.65,40.56,3.89,56.59
2026-07-04 18:35:50,23.27,612.4,95.57,26.4,17.37,52.6,38.27,2.49,58.06
2026-07-04 18:38:16,23.16,508.9,100.19,25.7,17.07,44.9,39.27,3.53,60.14
2026-07-04 18:43:38,22.73,641.8,102.89,21.4,20.35,50.48,46.78,5.27,61.6
2026-07-04 18:48:40,22.63,583.9,104.18,19.0,15.16,43.05,42.43,10.2,63.94
2026-07-04 18:54:47,22.98,530.5,94.97,25.3,13.6,39.46,40.56,7.66,66.91
2026-07-04 18:57:28,23.44,571.7,84.01,30.3,13.8,41.48,31.76,2.92,66.99
2026-07-04 19:04:58,22.51,435.4,98.41,27.1,17.81,49.66,39.85,0.73,69.51
2026-07-04 19:14:32,22.65,549.3,111.19,18.7,20.17,52.77,44.7,14.29,71.22
2026-07-04 19:19:56,23.06,508.2,96.22,25.0,18.75,50.55,44.25,16.87,70.31
2026-07-04 19:23:44,22.49,463.7,99.08,19.5,16.21,48.93,39.08,3.8,71.9
