date,pm25_ugm3,pm10_ugm3,o3_ugm3,no2_ugm3,temperature_c,humidity_pct,wind_speed_ms,pressure_hpa
2026-04-28,27.78,43.06,40.01,21.11,21.56,58.56,3.5,1016.53
2026-04-29,27.76,45.34,41.98,23.42,24.1,66.15,1.89,1014.1
2026-04-30,30.92,59.96,39.7,17.07,23.89,57.87,2.53,1018.41
2026-05-01,35.04,54.14,41.65,18.84,24.79,59.09,3.85,1012.17
2026-05-02,20.91,28.6,30.62,32.38,24.57,54.16,4.27,1013.47
2026-05-03,36.41,55.9,38.2,32.09,24.6,61.49,3.97,1017.65
2026-05-04,26.93,37.35,32.9,20.1,22.03,74.78,1.77,1012.64
2026-05-05,35.53,68.22,40.13,21.78,27.13,62.09,0.87,1014.05
2026-05-06,36.83,47.38,35.81,18.87,21.96,65.63,3.87,1022.31
2026-05-07,34.98,51.09,30.56,13.44,25.8,58.62,2.89,1017.28
2026-05-08,27.04,40.91,19.88,12.19,21.26,62.98,4.79,1014.65
2026-05-09,39.52,64.58,42.89,32.47,23.79,51.39,4.36,1015.52
2026-05-10,45.36,72.34,49.5,26.21,27.73,56.46,2.23,1010.65
2026-05-11,30.59,60.33,40.12,21.04,15.79,62.79,3.83,1012.05
2026-05-12,27.69,44.29,47.16,12.32,21.6,65.5,2.33,1012.26
2026-05-13,31.97,41.22,34.94,11.55,25.48,58.18,6.43,1013.84
2026-05-14,39.46,52.71,32.09,19.22,27.99,49.24,4.49,1014.43
2026-05-15,40.31,70.2,33.42,14.99,18.93,58.12,2.71,1018.36
2026-05-16,33.75,56.56,20.46,26.02,23.36,56.88,5.17,1011.83
2026-05-17,30.49,52.45,37.2,30.46,20.38,57.96,3.13,1013.72
2026-05-18,38.07,65.79,35.47,28.36,23.1,54.28,3.17,1015.74
2026-05-19,30.84,53.5,42.92,15.04,17.07,56.84,3.34,1009.14
2026-05-20,35.03,60.91,25.63,20.19,21.54,47.54,3.68,1010.52
2026-05-21,24.97,44.14,37.78,14.71,23.21,59.67,1.93,1011.49
2026-05-22,29.07,64.64,19.32,21.08,20.96,53.77,5.85,1010.04
2026-05-23,48.59,74.21,37.41,25.55,19.68,50.38,2.58,1010.39
2026-05-24,22.07,51.33,33.72,36.71,18.6,51.27,7.75,1006.92
2026-05-25,18.77,25.66,39.32,21.07,25.36,52.2,0.6,1007.98
2026-05-26,34.7,59.25,20.43,17.42,25.56,63.92,3.84,1009.99
2026-05-27,19.31,24.15,37.04,20.12,22.99,50.75,1.27,1006.52
2026-05-28,19.29,36.01,18.79,15.93,22.48,60.63,3.11,1011.67
2026-05-29,23.31,31.34,32.55,25.24,24.01,55.38,8.0,1008.41
2026-05-30,35.39,59.08,36.87,39.58,25.44,42.01,2.4,1009.65
2026-05-31,35.81,46.51,21.32,18.47,20.62,48.49,3.52,1005.94
2026-06-01,16.71,10.55,42.75,19.45,23.73,56.9,2.71,1012.2
2026-06-02,22.68,31.0,36.73,14.68,14.18,53.8,3.37,1006.99
2026-06-03,18.66,32.83,55.43,17.79,19.1,50.18,2.9,1004.23
2026-06-04,21.64,35.11,57.26,22.32,23.68,49.73,4.0,1004.58
2026-06-05,23.71,41.29,37.2,27.6,22.25,43.97,3.83,1006.78
2026-06-06,27.8,48.21,47.29,17.8,17.06,53.67,4.95,1013.74
2026-06-07,38.08,44.48,51.16,18.42,25.38,51.34,1.29,1014.11
