timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-08 14:18:10,24.51,847.1,93.74,14.9,19.34,35.01,36.45,0.26,44.89
2026-07-08 14:20:52,24.61,790.7,84.55,17.1,18.14,38.79,30.73,3.06,39.15
2026-07-08 14:28:34,24.47,907.8,85.91,15.4,16.48,34.48,31.95,4.26,37.18
2026-07-08 14:38:24,24.35,773.7,96.35,15.7,19.62,35.4,33.0,2.76,35.34
2026-07-08 14:46:17,24.48,815.1,84.01,8.1,12.13,34.15,31.84,0.06,33.25
2026-07-08 14:53:28,24.51,847.5,86.01,7.0,16.9,34.79,24.15,3.76,31.85
2026-07-08 15:01:25,23.82,763.6,75.99,12.2,16.03,32.17,25.88,2.34,30.98
2026-07-08 15:06:23,24.12,780.5,96.55,12.9,15.83,34.31,35.18,7.38,28.34
2026-07-08 15:14:32,23.72,802.6,86.94,18.2,16.66,29.41,30.51,6.33,25.19
2026-07-08 15:23:40,23.55,951.0,85.82,15.2,18.72,35.72,35.14,0,23.28
2026-07-08 15:28:23,24.1,925.0,93.3,8.9,10.75,31.15,30.98,4.03,23.66
2026-07-08 15:31:28,24.12,785.3,80.97,15.7,16.92,34.38,33.64,3.42,26.38
2026-07-08 15:34:28,24.19,710.6,81.5,12.6,11.47,28.33,25.72,2.52,24.38
2026-07-08 15:38:14,23.91,756.9,69.55,11.3,11.48,33.34,24.87,0.68,24.57
2026-07-08 15:44:03,23.68,701.2,87.83,21.1,15.23,26.96,27.63,8.48,25.32
2026-07-08 15:50:27,23.44,794.5,76.15,8.4,15.12,31.65,30.08,7.14,23.9
2026-07-08 15:56:23,23.84,843.7,58.87,6.3,8.29,29.81,23.27,0.68,26.48
2026-07-08 16:01:54,23.4,680.7,79.72,15.9,12.89,32.93,28.64,13.27,26.25
2026-07-08 16:09:20,23.34,666.6,81.3,21.2,16.88,36.23,29.29,5.34,25.26
2026-07-08 16:12:19,23.61,704.5,85.06,18.0,16.64,36.6,27.9,3.74,21.79
2026-07-08 16:18:40,23.17,829.5,65.8,17.7,12.61,26.19,26.13,1.46,20.0
2026-07-08 16:28:27,22.91,741.4,54.03,6.9,12.97,37.54,24.99,0,20.0
2026-07-08 16:32:41,23.27,708.3,67.75,15.3,13.47,34.88,31.42,4.72,22.61
2026-07-08 16:41:40,22.54,689.1,59.74,12.4,11.23,36.77,20.04,0.83,24.74
2026-07-08 16:49:51,22.92,586.1,65.17,14.4,13.39,37.1,26.71,1.97,25.46
2026-07-08 16:59:40,22.6,645.1,57.39,22.5,10.93,33.51,24.12,3.23,25.33
2026-07-08 17:08:56,22.53,680.3,47.69,21.4,11.88,37.09,29.73,1.21,26.98
2026-07-08 17:11:03,22.2,652.9,48.07,12.1,13.97,25.76,32.51,2.26,27.24
2026-07-08 17:19:09,22.47,582.3,54.94,8.6,14.08,26.63,28.89,1.33,27.46
2026-07-08 17:25:36,21.81,571.8,55.03,13.9,12.18,32.96,25.63,2.12,27.78
2026-07-08 17:29:13,23.15,581.4,46.5,19.1,12.6,30.29,27.67,5.2,30.07
2026-07-08 17:37:38,22.59,584.3,73.85,15.2,15.42,33.6,28.05,4.45,30.12
2026-07-08 17:44:15,22.15,597.1,62.39,16.4,11.43,26.96,29.61,9.45,28.26
2026-07-08 17:51:46,23.07,520.0,42.03,10.1,8.71,30.47,21.9,0.48,29.4
2026-07-08 18:00:37,22.81,506.0,48.3,21.4,12.59,33.56,22.08,2.32,28.55
2026-07-08 18:05:02,21.94,511.5,43.19,10.1,12.65,37.56,30.29,2.89,30.76
2026-07-08 18:11:53,22.43,515.0,63.0,15.0,12.08,31.3,25.71,15.04,32.82
2026-07-08 18:21:41,22.0,699.8,52.97,13.8,12.75,30.37,29.41,0,31.98
2026-07-08 18:31:07,21.44,486.6,52.16,15.1,11.79,34.59,23.37,2.15,32.29
2026-07-08 18:38:33,21.75,515.3,72.93,21.9,14.16,35.57,27.43,5.64,34.45
2026-07-08 18:45:15,21.59,442.5,43.36,12.3,14.21,31.3,24.23,3.64,37.61
2026-07-08 18:50:04,21.97,448.8,57.42,14.9,7.03,22.25,18.97,0,40.49
2026-07-08 18:59:27,21.26,514.1,60.01,10.2,13.14,28.86,26.56,0,41.85
2026-07-08 19:08:36,21.19,530.4,57.97,17.0,9.88,30.93,23.56,6.67,44.77
2026-07-08 19:16:23,21.03,514.5,72.94,17.0,11.45,26.35,20.9,0.88,45.95
