timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-08 14:21:33,25.8,806.6,140.67,18.6,24.79,53.4,46.12,0.97,55.29
2026-07-08 14:26:26,25.6,826.7,141.69,17.4,27.73,57.24,45.7,2.11,52.58
2026-07-08 14:32:02,25.62,823.7,131.73,20.6,21.75,54.79,44.15,13.63,52.17
2026-07-08 14:39:18,25.55,837.5,127.92,16.0,22.06,48.43,44.1,4.32,48.67
2026-07-08 14:48:19,25.67,1014.0,137.67,28.0,22.87,52.2,45.99,4.98,48.74
2026-07-08 14:54:30,25.42,797.5,115.78,21.6,18.11,39.59,37.33,2.75,48.04
2026-07-08 14:58:47,25.89,792.1,137.06,26.6,22.47,56.53,48.98,5.54,46.89
2026-07-08 15:00:59,25.9,800.1,125.33,25.7,19.44,55.59,42.72,5.62,45.12
2026-07-08 15:07:37,25.69,807.4,138.49,15.3,22.47,63.78,44.33,20.01,43.1
2026-07-08 15:10:51,25.66,952.6,119.14,26.0,22.46,51.21,42.04,1.03,40.43
2026-07-08 15:20:14,25.7,844.8,120.03,12.3,21.61,51.12,44.66,0.75,37.93
2026-07-08 15:27:28,25.64,862.1,107.11,23.7,21.14,52.65,41.36,1.23,38.4
2026-07-08 15:34:12,25.23,800.0,109.71,29.8,20.27,47.09,40.08,0,38.06
2026-07-08 15:37:32,25.34,794.5,114.83,27.7,17.25,47.24,40.73,1.43,40.05
2026-07-08 15:46:37,24.77,786.8,110.65,19.4,19.68,50.43,43.39,15.84,39.41
2026-07-08 15:49:07,25.46,710.1,130.47,22.1,21.94,51.97,46.13,4.1,38.44
2026-07-08 15:53:53,25.48,725.5,109.01,24.0,16.61,50.19,41.82,8.08,38.45
2026-07-08 16:00:56,25.04,810.9,119.66,30.6,17.66,44.68,37.37,3.4,37.63
2026-07-08 16:05:04,24.95,754.8,118.23,31.8,19.57,62.0,38.97,3.73,35.66
2026-07-08 16:14:49,24.94,738.9,109.73,28.0,17.06,55.47,34.91,2.55,35.58
2026-07-08 16:21:00,24.6,689.6,106.48,22.2,19.75,54.5,47.68,22.73,37.25
2026-07-08 16:23:33,24.59,701.9,112.58,17.5,19.23,36.9,38.68,5.79,35.46
2026-07-08 16:32:18,24.35,1316.7,95.07,22.9,13.32,44.82,33.37,1.93,33.92
2026-07-08 16:36:37,24.53,996.2,97.41,28.8,19.18,56.45,45.86,2.84,33.98
2026-07-08 16:44:26,24.5,730.5,90.51,28.3,16.16,41.8,40.71,8.48,36.95
2026-07-08 16:48:23,24.46,627.5,98.05,26.8,15.87,51.16,35.3,20.56,38.45
2026-07-08 16:50:43,24.43,656.0,100.47,21.9,18.12,47.48,39.15,5.69,40.27
2026-07-08 16:59:19,24.56,673.3,84.81,28.0,15.73,48.57,38.25,20.12,40.64
2026-07-08 17:01:32,24.07,641.7,96.27,26.2,20.2,60.6,49.29,10.24,41.22
2026-07-08 17:11:10,24.35,659.1,106.8,25.0,18.96,56.53,42.41,7.24,41.89
2026-07-08 17:19:49,23.98,600.5,81.6,30.7,13.43,46.71,34.68,21.24,43.4
2026-07-08 17:28:53,23.92,615.1,89.97,30.5,18.96,42.16,46.11,2.49,43.0
2026-07-08 17:35:34,23.63,651.8,86.48,27.1,11.25,45.33,28.65,3.21,42.55
2026-07-08 17:42:53,23.73,606.8,86.16,18.7,14.44,51.1,33.52,3.65,43.21
2026-07-08 17:47:30,23.53,599.5,81.39,24.1,14.84,45.9,34.52,0.81,46.35
2026-07-08 17:55:02,24.14,536.2,75.6,26.8,16.87,39.92,38.43,14.32,45.13
2026-07-08 18:04:40,23.41,603.6,73.65,22.4,13.8,42.55,34.91,1.27,48.09
2026-07-08 18:10:39,23.4,651.1,82.5,29.3,14.71,50.04,38.96,0,47.12
