timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-08 14:23:25,24.99,895.3,119.93,15.9,22.7,49.26,40.85,0.42,47.75
2026-07-08 14:29:06,24.53,947.8,113.06,19.8,19.87,42.7,36.05,2.82,41.89
2026-07-08 14:31:22,25.34,921.2,117.05,16.3,23.12,45.89,41.71,1.4,37.91
2026-07-08 14:38:28,24.79,889.7,110.44,11.5,18.84,44.1,35.79,15.81,35.41
2026-07-08 14:41:39,24.55,917.8,98.29,12.7,22.23,41.97,39.79,5.04,34.43
2026-07-08 14:47:21,24.63,836.7,82.27,22.5,16.21,37.33,33.77,1.78,30.33
2026-07-08 14:52:50,25.22,877.3,96.93,8.3,16.67,45.79,36.5,7.83,26.71
2026-07-08 14:58:16,24.41,851.3,86.35,25.0,12.78,35.19,33.73,17.31,23.3
2026-07-08 15:03:24,24.89,825.1,102.14,13.8,18.58,48.4,33.13,3.01,20.58
2026-07-08 15:12:56,24.4,815.4,107.9,21.6,17.42,39.58,36.24,1.21,20.41
2026-07-08 15:20:27,24.13,1036.0,109.96,15.6,18.41,43.67,39.14,3.35,20.05
2026-07-08 15:28:15,24.03,890.0,98.07,19.5,16.46,42.61,34.51,5.36,20.0
2026-07-08 15:36:52,24.36,844.7,104.57,21.6,19.28,36.06,36.59,11.64,20.0
2026-07-08 15:44:41,24.36,1057.3,93.77,18.9,19.26,41.16,39.29,0.77,20.0
2026-07-08 15:51:22,24.06,820.1,104.16,29.4,16.03,45.92,35.14,13.25,20.29
2026-07-08 15:55:58,23.83,784.5,71.7,15.2,15.05,42.15,30.49,4.12,20.0
2026-07-08 16:00:41,24.31,734.3,61.74,13.4,11.19,30.31,24.19,4.22,20.17
2026-07-08 16:08:38,23.83,735.0,102.44,14.7,20.15,36.61,36.49,7.72,23.16
2026-07-08 16:12:17,24.19,745.0,104.41,18.8,19.81,49.4,40.95,1.93,23.72
2026-07-08 16:16:20,23.66,734.2,80.78,19.8,14.19,45.13,27.51,4.19,20.74
2026-07-08 16:21:29,23.59,712.5,77.59,24.1,12.82,42.8,28.96,0.2,21.35
2026-07-08 16:30:47,24.2,929.8,88.71,18.0,13.69,39.14,33.04,9.57,22.81
2026-07-08 16:36:50,23.32,732.5,79.59,22.4,16.85,33.78,33.49,4.34,23.77
2026-07-08 16:43:40,23.67,723.7,72.02,18.9,13.25,31.96,23.91,3.6,23.11
2026-07-08 16:46:26,23.39,698.7,88.83,17.9,17.62,41.45,36.85,2.88,26.21
