date,pm25_ugm3,pm10_ugm3,o3_ugm3,no2_ugm3,temperature_c,humidity_pct,wind_speed_ms,pressure_hpa,hrv_sdnn_ms,hrv_rmssd_ms,resting_hr_bpm,sleep_quality,stress_level,bp_systolic_mmhg,bp_diastolic_mmhg,steps,weight_kg
2026-04-28,27.78,43.06,40.01,21.11,21.56,58.56,3.5,1016.53,60.36,49.43,68.02,58,77,121.43,78.74,8050,70.49
2026-04-29,27.76,45.34,41.98,23.42,24.1,66.15,1.89,1014.1,49.64,32.95,68.07,64,53,120.19,77.06,8444,70.01
2026-04-30,30.92,59.96,39.7,17.07,23.89,57.87,2.53,1018.41,45.46,36.3,64.57,54,51,128.0,77.45,12611,70.16
2026-05-01,35.04,54.14,41.65,18.84,24.79,59.09,3.85,1012.17,40.78,28.08,68.93,55,71,123.27,80.97,11290,69.98
2026-05-02,20.91,28.6,30.62,32.38,24.57,54.16,4.27,1013.47,44.41,32.49,68.04,69,41,118.2,77.8,5489,69.37
2026-05-03,36.41,55.9,38.2,32.09,24.6,61.49,3.97,1017.65,42.82,27.82,69.97,70,57,123.53,78.2,7533,70.34
2026-05-04,26.93,37.35,32.9,20.1,22.03,74.78,1.77,1012.64,46.36,34.34,72.79,61,50,123.33,79.54,7567,69.96
2026-05-05,35.53,68.22,40.13,21.78,27.13,62.09,0.87,1014.05,38.53,28.06,75.04,63,56,123.01,78.41,10676,69.87
2026-05-06,36.83,47.38,35.81,18.87,21.96,65.63,3.87,1022.31,55.13,37.23,66.06,70,44,127.03,74.94,8964,69.99
2026-05-07,34.98,51.09,30.56,13.44,25.8,58.62,2.89,1017.28,49.97,28.01,62.94,57,56,122.65,78.55,7320,69.92
2026-05-08,27.04,40.91,19.88,12.19,21.26,62.98,4.79,1014.65,44.82,34.35,67.54,71,48,121.61,78.39,8657,70.03
2026-05-09,39.52,64.58,42.89,32.47,23.79,51.39,4.36,1015.52,39.69,30.88,65.31,57,38,127.26,78.24,8224,70.14
2026-05-10,45.36,72.34,49.5,26.21,27.73,56.46,2.23,1010.65,34.45,22.59,72.77,54,44,125.44,78.67,4982,69.96
2026-05-11,30.59,60.33,40.12,21.04,15.79,62.79,3.83,1012.05,41.77,23.56,64.85,57,63,119.02,75.91,10881,69.59
2026-05-12,27.69,44.29,47.16,12.32,21.6,65.5,2.33,1012.26,45.8,36.14,65.03,55,56,122.79,81.21,9982,70.98
2026-05-13,31.97,41.22,34.94,11.55,25.48,58.18,6.43,1013.84,38.37,28.71,65.1,67,60,127.54,77.46,7982,69.47
2026-05-14,39.46,52.71,32.09,19.22,27.99,49.24,4.49,1014.43,52.91,41.21,69.37,64,61,129.82,76.2,8029,70.14
2026-05-15,40.31,70.2,33.42,14.99,18.93,58.12,2.71,1018.36,47.46,38.47,62.66,62,71,127.07,81.6,9071,70.32
2026-05-16,33.75,56.56,20.46,26.02,23.36,56.88,5.17,1011.83,57.18,43.2,71.05,58,47,126.51,77.09,8147,69.89
2026-05-17,30.49,52.45,37.2,30.46,20.38,57.96,3.13,1013.72,44.31,33.23,71.43,66,50,120.61,78.7,4735,69.92
