timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-16 14:52:50,23.31,790.2,86.6,16.4,15.33,31.81,27.39,2.63,49.32
2026-07-16 15:00:15,23.2,696.3,79.84,19.1,15.09,28.01,32.46,12.22,46.34
2026-07-16 15:03:17,22.8,748.1,75.55,14.0,18.05,35.89,27.68,7.16,45.18
2026-07-16 15:11:55,23.34,655.1,69.46,15.5,12.67,25.92,24.7,1.3,43.16
2026-07-16 15:20:59,22.76,666.1,82.7,16.2,16.02,32.87,30.52,2.58,40.23
2026-07-16 15:29:24,23.37,663.5,78.13,12.9,13.51,30.55,24.59,7.1,38.26
2026-07-16 15:37:38,23.12,790.3,79.35,18.8,14.27,36.78,27.01,16.79,36.65
2026-07-16 15:41:24,22.82,780.9,54.43,11.6,9.48,17.38,25.5,8.98,34.0
2026-07-16 15:47:54,23.0,778.4,64.44,15.8,12.57,31.0,23.91,7.5,37.13
2026-07-16 15:51:31,22.47,762.6,52.57,11.0,11.23,19.41,27.12,0.43,32.65
2026-07-16 16:01:03,22.72,634.5,80.24,6.1,14.05,27.4,30.6,7.78,32.73
2026-07-16 16:09:21,22.25,617.2,57.85,6.3,13.32,27.51,32.07,0.05,31.7
2026-07-16 16:16:10,22.57,657.0,60.02,13.5,12.96,28.43,25.23,3.56,31.17
2026-07-16 16:23:17,22.06,606.0,61.48,16.7,9.52,30.23,27.55,1.84,31.42
2026-07-16 16:28:18,22.48,710.8,53.81,17.8,11.77,24.92,19.8,1.35,32.36
2026-07-16 16:31:40,22.12,758.8,54.32,13.5,15.59,32.54,29.34,1.42,30.39
2026-07-16 16:34:29,22.29,655.6,51.82,19.3,13.0,30.17,24.7,1.1,32.65
2026-07-16 16:39:54,21.85,573.8,55.18,18.2,11.98,24.95,20.33,3.59,30.95
2026-07-16 16:42:38,22.29,569.6,50.59,17.4,10.25,27.96,21.56,0,34.04
2026-07-16 16:47:23,22.38,616.2,37.28,19.3,9.86,22.87,23.02,0,33.74
2026-07-16 16:56:36,21.24,643.1,54.93,21.7,13.68,39.6,30.08,0.25,33.97
2026-07-16 17:01:59,20.9,601.0,61.71,12.7,13.82,31.28,23.15,1.24,36.38
2026-07-16 17:07:39,21.86,552.8,57.45,21.7,11.62,18.41,26.62,0.03,34.63
2026-07-16 17:11:56,21.52,517.5,54.36,18.0,12.6,32.81,23.45,6.48,36.41
2026-07-16 17:16:35,21.59,700.3,45.34,20.1,6.47,23.77,22.9,1.02,33.46
2026-07-16 17:26:23,21.61,513.8,44.8,24.6,9.28,19.09,24.17,1.49,33.27
2026-07-16 17:29:39,21.29,626.0,47.42,24.4,10.65,24.27,15.22,3.96,34.17
2026-07-16 17:33:51,21.02,491.5,38.6,16.4,10.37,23.1,20.2,6.99,35.08
2026-07-16 17:41:50,21.26,432.9,41.27,13.3,8.25,22.37,19.03,4.6,37.59
2026-07-16 17:49:59,21.53,522.3,40.14,14.0,11.58,26.26,19.39,1.51,37.42
2026-07-16 17:54:00,20.91,488.2,32.1,11.2,6.4,27.73,15.47,0.08,36.01
2026-07-16 17:56:30,20.8,448.8,24.3,20.5,10.02,18.37,22.25,1.9,35.0
2026-07-16 18:03:48,20.98,899.5,39.55,18.8,8.0,20.07,21.08,1.5,34.35
2026-07-16 18:10:04,21.36,490.7,33.33,16.5,9.11,27.29,19.71,5.23,34.8
2026-07-16 18:13:32,20.87,449.2,35.96,14.7,8.03,28.5,21.19,5.58,37.07
2026-07-16 18:20:12,21.45,476.4,35.86,19.8,8.79,24.28,20.94,3.02,40.12
2026-07-16 18:29:27,20.51,500.3,48.28,23.1,11.59,27.96,22.84,4.03,43.88
2026-07-16 18:35:22,21.02,446.3,49.97,19.2,10.85,31.23,25.01,5.41,46.4
2026-07-16 18:38:54,20.46,485.0,39.38,21.9,10.51,33.7,20.78,4.3,46.88
2026-07-16 18:45:40,21.24,432.3,51.48,27.0,12.24,26.33,24.04,1.22,45.04
2026-07-16 18:53:32,20.56,496.8,50.91,23.3,16.56,35.92,24.91,0,47.97
2026-07-16 19:01:03,20.03,440.5,52.49,15.7,9.07,20.88,20.3,1.12,50.83
2026-07-16 19:09:42,20.12,385.5,56.97,20.7,9.97,25.93,20.86,0,51.57
2026-07-16 19:15:40,20.34,359.4,50.92,12.7,10.9,28.58,17.36,0.26,52.56
2026-07-16 19:19:43,20.3,417.8,63.7,18.7,12.86,25.5,24.39,4.04,54.01
2026-07-16 19:22:05,20.03,379.5,61.25,17.7,12.44,26.77,18.26,1.7,54.76
2026-07-16 19:27:10,20.2,504.9,80.14,22.3,15.89,35.38,23.85,2.92,54.26
2026-07-16 19:30:37,19.9,467.2,58.94,24.8,13.15,31.9,26.88,1.24,56.16
2026-07-16 19:38:16,19.95,439.2,53.79,22.8,10.54,25.77,21.23,0.95,55.85
2026-07-16 19:45:40,19.98,715.4,72.69,24.6,16.06,25.1,30.94,1.09,55.99
