timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-16 14:58:07,25.71,803.8,131.05,18.4,24.01,50.79,49.55,8.87,56.91
2026-07-16 15:00:56,25.61,749.0,114.82,27.1,21.02,57.58,46.33,0.3,53.82
2026-07-16 15:04:43,25.19,791.8,125.11,27.2,22.09,56.3,48.78,1.63,50.27
2026-07-16 15:10:54,25.7,753.9,121.14,26.3,22.94,61.94,43.01,12.51,48.12
2026-07-16 15:18:38,24.86,860.6,103.12,24.8,19.5,50.05,38.07,0.4,47.76
2026-07-16 15:28:07,25.01,938.1,122.3,21.2,19.29,54.08,45.23,3.49,46.01
2026-07-16 15:37:57,25.29,995.1,119.36,26.6,19.88,44.75,41.58,16.51,43.18
2026-07-16 15:45:39,25.05,778.7,107.07,13.7,16.1,39.91,34.57,3.09,41.15
2026-07-16 15:48:34,24.76,765.8,120.23,20.9,23.12,47.66,45.08,1.24,40.31
2026-07-16 15:55:56,25.06,716.2,118.04,20.6,20.72,50.64,44.13,15.99,38.53
2026-07-16 16:03:51,24.98,707.1,97.61,29.9,19.41,49.03,49.46,2.63,36.01
2026-07-16 16:10:16,24.89,809.9,111.4,20.6,17.7,43.86,36.76,11.78,37.79
2026-07-16 16:19:59,24.99,680.7,104.62,27.1,17.7,48.58,38.41,3.02,39.56
2026-07-16 16:27:39,24.85,667.5,95.79,20.3,15.68,46.01,38.77,1.56,40.37
2026-07-16 16:31:08,24.34,709.7,106.26,27.8,18.04,51.69,40.79,44.93,40.04
2026-07-16 16:39:43,25.04,693.1,82.06,17.9,14.59,43.89,43.07,3.29,40.1
2026-07-16 16:46:02,24.95,660.5,110.35,26.9,20.4,56.02,44.73,24.94,38.65
2026-07-16 16:52:21,24.8,736.5,101.41,27.6,16.61,37.93,39.95,21.76,39.79
2026-07-16 17:00:19,24.04,628.0,88.65,22.9,16.51,51.45,35.37,5.0,40.45
2026-07-16 17:02:27,23.89,671.8,87.33,23.6,16.95,48.14,39.67,0.31,40.31
2026-07-16 17:10:35,23.84,624.2,81.2,29.6,10.31,40.69,35.85,20.23,42.15
2026-07-16 17:18:56,23.59,626.1,100.6,25.6,13.37,43.94,35.08,19.49,45.29
2026-07-16 17:23:41,23.81,579.5,100.53,27.6,19.28,43.32,45.81,40.42,44.2
2026-07-16 17:29:23,23.94,557.6,80.24,27.3,14.52,45.53,31.97,2.33,45.29
2026-07-16 17:34:59,23.76,601.6,89.11,25.7,16.4,51.44,38.56,14.13,47.73
2026-07-16 17:38:03,24.11,568.4,96.6,30.6,19.65,44.66,44.34,2.92,47.02
2026-07-16 17:47:09,23.75,598.0,75.81,28.2,17.74,46.57,28.47,4.62,47.8
2026-07-16 17:55:21,23.71,611.8,78.6,25.3,12.26,45.12,37.78,6.88,51.11
2026-07-16 17:58:41,23.41,722.3,68.49,21.2,15.84,50.35,36.18,3.7,52.0
2026-07-16 18:01:01,23.77,547.8,87.73,25.0,15.46,43.03,40.49,1.61,51.75
2026-07-16 18:07:22,23.29,590.3,64.31,31.6,15.5,47.31,38.95,4.84,51.25
2026-07-16 18:14:12,23.51,492.6,83.94,29.4,15.39,45.89,38.36,11.1,52.81
2026-07-16 18:20:04,23.36,635.6,81.21,24.9,14.79,46.56,36.13,2.32,54.54
2026-07-16 18:23:30,23.02,487.4,78.21,28.2,9.31,47.32,33.75,13.97,54.24
2026-07-16 18:30:18,23.31,565.7,91.07,30.0,15.44,46.62,37.22,1.97,54.36
2026-07-16 18:39:11,22.93,460.6,104.84,27.8,17.73,49.76,39.2,7.43,55.89
2026-07-16 18:47:48,23.09,524.7,87.83,26.1,17.31,43.13,36.89,11.27,54.94
2026-07-16 18:55:54,23.03,516.3,100.93,34.4,17.05,50.87,38.81,6.05,56.82
2026-07-16 18:58:50,22.51,479.2,93.89,23.0,18.37,46.61,38.88,9.43,56.19
2026-07-16 19:06:53,22.8,477.2,93.41,29.5,16.11,42.22,41.52,10.44,56.01
2026-07-16 19:12:27,22.81,479.7,99.93,20.6,20.74,61.23,44.6,1.26,58.54
2026-07-16 19:21:51,22.75,466.8,113.12,25.6,16.84,48.3,34.54,13.03,60.55
2026-07-16 19:28:59,22.6,564.1,96.18,23.3,17.57,52.15,42.41,0.09,64.21
2026-07-16 19:32:14,22.56,461.2,100.14,25.5,19.4,53.52,45.63,2.45,64.22
2026-07-16 19:41:57,22.14,626.0,100.89,26.9,19.63,52.72,47.25,24.82,65.1
2026-07-16 19:50:57,21.86,668.7,105.57,16.5,16.69,50.6,39.69,0.93,65.69
2026-07-16 19:53:30,22.67,424.6,118.83,26.4,21.57,50.58,48.73,14.18,67.23
2026-07-16 19:56:06,21.96,594.8,113.99,18.9,18.76,51.31,42.06,0.84,69.01
2026-07-16 19:59:44,21.96,449.1,100.62,21.1,18.32,45.24,44.34,7.91,69.84
2026-07-16 20:05:40,22.47,500.8,124.11,29.8,21.08,52.64,46.21,5.68,69.56
