timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-16 14:52:22,25.14,923.9,98.32,18.6,15.8,40.05,34.26,14.38,45.24
2026-07-16 14:57:23,24.72,873.9,103.92,15.7,18.09,38.44,33.71,3.75,39.12
2026-07-16 15:04:24,24.72,881.5,113.3,13.7,24.13,47.62,41.5,3.89,37.61
2026-07-16 15:09:41,24.35,847.2,97.39,16.7,19.34,48.17,42.06,5.72,34.9
2026-07-16 15:18:23,24.54,840.5,96.21,14.1,14.52,35.71,33.65,4.82,32.97
2026-07-16 15:27:50,24.27,828.4,92.82,17.1,18.97,47.82,35.23,4.32,32.93
2026-07-16 15:35:24,24.66,863.3,87.92,9.8,17.83,42.1,32.61,3.45,33.19
2026-07-16 15:45:22,24.44,800.5,93.64,23.5,15.61,29.83,33.69,4.91,33.45
2026-07-16 15:48:18,24.5,783.6,97.37,18.3,18.1,45.78,36.05,3.12,27.05
2026-07-16 15:52:54,23.98,843.5,94.01,21.8,15.53,45.57,37.58,4.74,25.26
2026-07-16 15:58:45,24.33,772.2,84.52,11.4,14.7,46.08,30.39,1.74,23.82
2026-07-16 16:06:14,24.18,1005.1,100.98,18.6,19.57,39.58,33.79,10.43,22.89
2026-07-16 16:14:15,23.85,746.7,68.04,22.2,13.56,42.44,34.14,8.09,23.43
2026-07-16 16:23:33,24.1,769.0,93.99,14.5,17.28,39.84,38.4,13.23,24.01
2026-07-16 16:30:58,23.6,788.3,93.77,16.8,16.36,40.26,32.78,3.71,22.75
2026-07-16 16:38:14,23.35,853.2,82.74,23.0,14.48,40.5,33.01,0.4,22.77
2026-07-16 16:45:13,23.58,714.9,84.05,22.7,18.09,45.15,33.08,1.16,24.88
2026-07-16 16:50:59,23.52,714.5,71.17,15.7,12.81,33.36,27.61,7.09,25.9
2026-07-16 16:58:21,23.84,718.5,90.56,17.8,13.66,40.93,30.56,0.78,26.25
2026-07-16 17:02:09,22.83,678.0,71.95,12.2,13.32,39.44,27.53,3.16,24.85
2026-07-16 17:05:31,23.15,659.5,60.68,25.4,12.75,33.92,26.71,5.15,25.37
2026-07-16 17:11:54,23.01,743.2,54.83,23.3,11.36,36.88,27.22,13.19,27.38
2026-07-16 17:18:29,22.82,687.7,70.93,19.8,16.49,46.2,33.24,2.93,27.5
2026-07-16 17:25:46,23.23,792.5,71.6,21.8,11.79,36.84,26.99,5.57,25.79
2026-07-16 17:30:18,23.18,791.2,71.5,21.9,19.58,44.72,34.27,1.89,26.53
2026-07-16 17:35:15,23.34,711.6,78.05,18.3,14.11,35.93,30.03,2.85,28.74
2026-07-16 17:41:37,22.63,647.9,76.08,32.1,13.9,37.79,31.51,6.43,30.29
2026-07-16 17:47:31,22.85,641.1,68.69,15.3,12.18,39.31,25.32,2.95,31.63
2026-07-16 17:52:21,22.33,715.9,59.36,23.1,8.38,43.2,21.05,0.28,31.77
2026-07-16 17:58:12,22.92,912.3,56.43,21.3,13.2,38.1,24.66,16.29,35.15
2026-07-16 18:00:50,22.66,543.9,58.03,21.9,9.1,37.15,19.39,8.61,35.18
2026-07-16 18:05:09,22.91,646.3,55.85,20.7,18.4,46.81,35.1,1.04,35.32
2026-07-16 18:07:48,22.63,553.6,75.61,21.1,15.56,45.78,34.33,8.69,35.73
2026-07-16 18:11:54,21.92,700.8,76.29,28.5,15.77,45.21,37.91,1.32,37.43
2026-07-16 18:17:25,22.5,559.3,61.63,22.8,10.88,39.42,27.74,2.97,41.22
2026-07-16 18:22:27,22.16,735.3,55.29,23.2,15.65,39.86,38.14,5.36,42.57
2026-07-16 18:32:06,22.68,560.2,66.13,17.7,13.4,32.71,29.73,0.42,42.39
2026-07-16 18:36:48,22.3,616.9,71.98,22.4,12.47,39.73,29.4,0.44,45.51
2026-07-16 18:39:32,21.83,751.2,75.81,27.1,16.37,46.41,36.63,16.7,44.37
2026-07-16 18:48:42,21.99,715.5,62.6,25.6,15.21,37.11,30.91,0.65,47.54
2026-07-16 18:56:55,21.8,756.4,61.76,21.5,11.3,36.03,26.47,7.33,49.36
2026-07-16 19:00:40,22.25,534.7,78.54,25.8,15.69,40.03,28.47,4.57,49.43
2026-07-16 19:04:48,22.13,579.2,60.4,24.6,12.74,32.24,29.31,15.4,49.72
2026-07-16 19:13:21,21.03,526.3,60.65,13.8,14.18,42.75,31.83,3.03,49.79
2026-07-16 19:21:29,21.63,539.3,97.06,18.1,17.03,43.84,31.73,0.15,51.85
2026-07-16 19:25:01,21.27,490.8,65.85,20.1,6.59,38.43,25.65,7.79,52.48
2026-07-16 19:27:22,21.6,519.5,79.41,25.0,15.4,40.22,35.11,3.75,51.91
2026-07-16 19:36:43,21.27,503.6,88.29,16.3,17.52,47.04,35.14,3.22,52.88
2026-07-16 19:45:06,21.36,627.6,75.9,30.6,13.42,38.27,33.35,6.46,53.21
2026-07-16 19:51:51,21.31,504.4,65.24,24.5,13.67,40.07,32.76,6.95,55.7
