timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-04 16:31:05,21.94,653.5,58.21,20.0,10.32,24.43,19.85,0.3,49.7
2026-07-04 16:35:03,21.64,542.3,68.46,18.1,13.1,26.68,25.96,1.65,47.59
2026-07-04 16:38:32,22.28,565.7,60.1,18.7,15.85,34.66,27.7,0,46.78
2026-07-04 16:48:07,21.83,648.0,47.94,10.5,11.41,33.54,20.29,0.8,45.49
2026-07-04 16:56:14,21.91,652.2,33.67,11.2,3.95,13.13,17.0,0.41,46.04
2026-07-04 17:00:19,21.66,592.2,55.22,22.4,10.23,23.49,19.53,0.51,42.97
2026-07-04 17:05:07,21.75,643.9,30.52,21.7,7.4,29.58,14.43,6.22,44.87
2026-07-04 17:09:46,21.54,533.7,62.35,16.1,13.72,36.75,21.78,2.75,43.55
2026-07-04 17:14:29,21.84,513.7,54.2,15.6,10.95,22.52,24.01,6.26,42.64
2026-07-04 17:18:01,21.75,506.0,51.33,17.1,12.41,34.01,21.49,0,44.26
2026-07-04 17:27:49,21.05,540.2,35.03,18.9,9.0,20.1,17.91,1.4,42.31
2026-07-04 17:35:12,21.78,557.7,28.9,12.8,5.03,22.1,16.35,2.27,40.28
2026-07-04 17:41:12,21.61,639.9,48.01,13.8,11.37,30.73,23.09,1.15,41.29
2026-07-04 17:43:35,21.16,498.1,19.9,24.1,7.89,23.92,22.08,0.03,43.72
2026-07-04 17:50:06,20.78,431.3,45.77,13.1,6.02,19.18,14.05,2.68,44.12
2026-07-04 17:58:31,21.46,595.5,28.78,17.4,9.74,33.46,20.45,4.88,48.08
2026-07-04 18:08:22,21.46,487.5,33.67,13.0,10.38,22.1,22.0,3.37,49.65
2026-07-04 18:16:12,20.84,436.9,46.71,14.4,9.89,26.44,19.28,3.47,50.91
2026-07-04 18:25:00,21.18,434.1,49.41,17.8,9.76,30.59,24.96,0,53.67
2026-07-04 18:34:53,20.64,426.8,53.97,13.5,10.52,26.21,26.04,2.46,54.7
2026-07-04 18:42:40,20.32,433.7,55.57,21.6,6.69,25.72,19.69,4.85,53.14
2026-07-04 18:49:25,20.27,784.9,57.01,22.8,11.95,26.16,27.77,5.7,53.79
2026-07-04 18:57:47,19.73,481.1,42.97,23.4,9.23,27.71,21.92,3.01,54.65
2026-07-04 19:01:58,20.49,436.0,53.79,17.2,11.86,24.62,25.29,0.23,52.79
2026-07-04 19:05:34,19.92,507.9,52.57,21.0,12.07,29.05,23.82,8.11,53.38
2026-07-04 19:15:18,20.41,384.2,50.02,20.6,11.36,25.36,17.36,1.02,54.88
2026-07-04 19:20:57,19.82,369.6,54.68,20.5,7.51,22.87,18.0,9.39,54.25
2026-07-04 19:27:16,19.95,422.7,54.79,16.4,7.69,26.75,23.6,0,57.63
2026-07-04 19:29:30,20.41,367.3,64.93,23.1,12.02,34.47,27.06,2.11,61.88
2026-07-04 19:33:32,19.29,428.0,64.18,17.7,14.88,31.34,29.9,2.36,61.89
2026-07-04 19:38:20,19.89,560.9,55.3,19.2,10.53,25.69,20.36,5.52,61.3
2026-07-04 19:41:05,20.41,389.9,56.46,19.3,10.7,23.36,26.72,0.13,61.13
2026-07-04 19:44:58,19.46,358.8,63.62,23.9,9.95,24.05,24.25,0.63,63.78
2026-07-04 19:54:28,19.81,379.7,65.2,13.1,8.96,23.89,19.76,3.08,63.45
2026-07-04 20:01:11,19.18,766.2,84.81,26.3,12.06,29.68,23.84,9.39,63.55
2026-07-04 20:11:00,19.43,322.0,104.6,10.7,19.34,32.79,30.84,6.75,65.0
2026-07-04 20:16:14,19.43,339.4,80.11,23.6,14.54,24.85,20.24,0.96,67.09
2026-07-04 20:25:22,18.98,396.8,78.58,22.8,15.51,30.59,27.82,3.18,67.18
2026-07-04 20:32:52,19.69,362.2,92.15,18.4,15.29,31.8,26.59,6.86,70.72
2026-07-04 20:38:53,18.6,498.4,66.12,24.8,15.22,41.06,27.13,2.0,72.73
2026-07-04 20:44:52,19.12,336.4,91.93,27.0,15.61,25.49,26.12,0,75.57
2026-07-04 20:48:41,18.88,339.0,83.57,20.6,11.78,32.56,22.87,1.6,78.33
2026-07-04 20:56:44,19.07,691.7,89.76,15.7,16.18,29.41,20.54,2.58,78.92
2026-07-04 21:03:45,18.63,575.2,95.25,17.1,15.48,30.5,29.16,3.18,79.0
2026-07-04 21:07:24,18.53,382.0,90.18,9.9,17.97,31.24,28.47,0,80.25
2026-07-04 21:13:27,19.25,328.0,100.23,19.7,20.33,33.89,34.29,4.84,79.54
2026-07-04 21:20:21,18.74,349.9,103.77,10.3,21.71,31.96,32.31,0,78.03
2026-07-04 21:27:50,18.73,399.0,119.79,18.5,19.14,39.28,34.31,2.37,78.26
2026-07-04 21:30:45,18.61,341.8,117.02,12.6,17.02,34.63,33.18,4.04,78.09
2026-07-04 21:34:07,18.21,377.5,101.27,15.1,19.54,37.13,23.42,4.35,77.6
2026-07-04 21:42:10,17.95,304.0,98.14,24.0,17.31,34.34,30.28,6.36,78.11
2026-07-04 21:50:40,18.29,300,111.77,14.6,20.2,33.22,32.74,0.84,78.76
2026-07-04 21:56:42,18.52,378.7,93.48,14.3,19.69,43.52,32.63,1.33,81.96
2026-07-04 22:04:50,18.08,328.8,110.31,18.5,21.93,33.33,36.68,10.19,84.44
2026-07-04 22:08:16,17.98,388.0,95.88,9.6,18.73,33.4,30.46,9.19,84.9
2026-07-04 22:14:43,18.33,332.6,108.15,11.9,19.13,24.3,33.98,4.92,86.12
2026-07-04 22:24:29,18.38,306.7,99.45,17.5,14.22,30.99,27.7,1.58,88.04
2026-07-04 22:30:28,17.78,314.6,97.48,15.9,18.44,30.8,35.77,4.29,89.29
2026-07-04 22:32:36,18.12,328.5,106.61,25.2,19.29,26.9,24.5,0.97,90.0
2026-07-04 22:37:44,18.08,342.9,95.15,11.6,17.35,34.87,30.84,0,90.0
2026-07-04 22:45:05,18.5,576.7,95.68,20.0,18.2,29.89,34.59,1.42,90.0
2026-07-04 22:50:38,17.94,300,109.56,3.2,20.25,35.28,35.65,1.16,90.0
2026-07-04 22:53:49,17.82,366.4,118.63,19.2,22.78,37.13,38.2,0.58,90.0
2026-07-04 22:55:50,17.69,306.1,116.26,19.2,19.07,32.57,39.8,0.81,90.0
2026-07-04 23:03:18,18.04,300,115.78,12.5,21.23,42.62,37.4,3.52,90.0
2026-07-04 23:05:59,17.98,430.3,103.06,15.3,17.99,31.56,27.51,0.25,90.0
2026-07-04 23:15:30,17.9,300,90.31,25.8,12.83,35.13,25.66,4.76,90.0
2026-07-04 23:17:36,18.11,300,101.78,11.5,20.76,40.42,33.03,4.19,89.6
2026-07-04 23:23:57,18.18,395.5,115.74,20.0,19.55,36.04,36.4,2.2,89.04
2026-07-04 23:28:31,18.28,300,117.8,11.7,21.03,34.16,41.95,0,90.0
2026-07-04 23:37:22,17.42,300,90.3,9.5,15.4,30.71,28.27,3.58,90.0
2026-07-04 23:46:52,18.43,300,107.19,22.0,17.58,39.14,30.04,1.75,90.0
2026-07-04 23:52:54,17.47,301.6,98.96,14.5,18.61,35.07,30.2,4.13,90.0
2026-07-05 00:02:13,17.66,350.3,116.02,17.7,18.36,30.33,32.64,2.78,90.0
2026-07-05 00:11:02,18.11,349.8,106.62,12.2,17.48,35.64,35.68,1.45,90.0
2026-07-05 00:16:13,17.41,300,119.47,19.7,20.96,40.82,35.71,1.23,90.0
2026-07-05 00:18:49,17.88,372.3,112.14,17.7,18.16,32.37,32.98,0,90.0
2026-07-05 00:26:43,17.75,307.8,108.41,13.0,15.39,31.74,27.98,2.17,90.0
2026-07-05 00:29:55,17.25,743.3,98.79,12.1,20.02,31.6,31.14,0.45,90.0
2026-07-05 00:35:03,18.36,300,98.91,19.2,19.21,36.51,33.06,1.02,90.0
2026-07-05 00:45:00,18.17,418.7,126.66,13.7,21.43,34.03,31.78,0.05,90.0
2026-07-05 00:50:44,17.71,311.0,98.16,17.5,15.64,29.42,30.17,0.33,90.0
2026-07-05 00:55:10,18.49,300,131.27,18.7,23.26,39.19,37.45,1.39,90.0
2026-07-05 00:59:23,18.33,300.6,121.54,7.6,18.93,28.91,37.06,2.84,90.0
2026-07-05 01:07:57,17.6,300,110.88,18.4,19.6,36.99,28.15,6.3,87.85
2026-07-05 01:16:18,18.22,300,116.06,16.9,20.41,30.48,36.57,1.82,90.0
2026-07-05 01:25:02,18.17,318.5,93.7,11.6,16.8,23.12,31.57,0.47,90.0
2026-07-05 01:34:45,18.48,395.8,109.14,11.6,21.86,40.75,30.34,1.99,88.09
2026-07-05 01:40:39,17.79,351.6,96.82,17.9,16.7,33.9,24.78,2.81,90.0
2026-07-05 01:46:26,18.36,325.1,117.05,16.8,16.14,33.3,34.01,7.72,90.0
2026-07-05 01:56:13,18.91,369.7,102.16,14.8,21.36,35.86,37.42,4.94,89.61
2026-07-05 02:05:28,18.33,370.1,99.77,19.6,17.78,41.13,34.63,0.51,90.0
2026-07-05 02:09:21,19.28,305.8,113.85,21.1,20.55,27.03,34.82,2.87,90.0
2026-07-05 02:16:52,18.63,313.5,96.62,12.8,19.65,35.2,33.92,5.78,89.48
2026-07-05 02:19:10,18.77,499.0,96.57,15.0,19.28,39.57,30.43,10.12,90.0
2026-07-05 02:23:23,18.59,391.6,106.98,11.9,22.6,35.95,37.83,1.41,87.21
2026-07-05 02:32:00,18.14,308.4,88.06,19.8,13.72,30.29,25.36,0.7,86.69
2026-07-05 02:41:08,18.97,316.8,86.31,13.7,17.9,35.53,32.93,14.05,87.16
2026-07-05 02:49:18,18.75,309.4,80.81,19.9,15.15,31.77,25.53,1.26,88.2
2026-07-05 02:53:36,18.91,321.1,106.76,18.5,20.82,31.24,38.97,2.87,87.31
2026-07-05 03:01:47,19.21,396.8,84.19,12.4,15.37,35.83,30.17,11.56,86.62
2026-07-05 03:11:06,18.98,336.3,86.31,14.6,15.09,32.29,24.31,0.47,89.39
2026-07-05 03:19:32,19.2,341.5,98.35,16.8,19.47,36.82,33.78,4.56,86.88
2026-07-05 03:26:56,18.48,443.0,79.16,12.1,10.42,25.2,18.94,0.1,87.04
