timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-06 20:25:08,20.68,292.6,87.01,7.1,12.49,34.76,12.38,12.13,44.97
2026-07-06 20:30:23,19.8,173.6,87.26,38.0,7.5,17.27,13.26,0.81,48.23
2026-07-06 20:38:08,19.49,282.6,68.98,15.5,10.97,22.62,8.01,12.31,41.34
2026-07-06 20:45:22,19.52,226.7,87.67,13.5,11.25,31.9,21.85,0.49,44.22
2026-07-06 20:57:44,19.85,213.3,90.14,26.1,14.46,27.26,13.16,7.17,45.4
2026-07-06 21:09:30,19.17,163.7,96.66,16.7,10.51,24.77,24.45,0.62,43.63
2026-07-06 21:23:26,20.25,214.1,97.1,12.2,14.08,30.46,12.42,7.47,43.55
2026-07-06 21:29:18,20.05,195.4,103.46,22.9,8.63,25.04,19.47,9.15,44.99
2026-07-06 21:38:31,19.97,189.8,87.82,12.7,11.99,27.36,17.47,13.65,43.29
2026-07-06 21:43:49,19.27,217.1,106.91,18.3,11.76,19.91,11.57,1.49,42.53
2026-07-06 21:51:00,20.03,126.6,93.44,10.9,7.29,25.85,12.66,6.37,40.48
2026-07-06 22:01:03,19.48,150.1,98.34,7.1,15.68,27.04,20.59,7.23,43.79
2026-07-06 22:06:19,18.54,219.3,104.55,5.3,14.67,20.17,14.86,4.81,43.34
2026-07-06 22:13:18,18.72,151.2,104.8,5.2,9.56,24.75,11.85,18.97,44.35
2026-07-06 22:24:48,20.17,186.7,96.49,36.8,5.17,26.76,16.12,0.81,45.39
2026-07-06 22:35:15,19.78,185.7,98.69,18.9,7.86,28.65,3.83,1.28,41.99
2026-07-06 22:42:28,18.78,120.5,95.32,31.6,5.12,29.06,17.17,4.02,44.6
2026-07-06 22:53:21,19.15,186.9,117.82,20.2,10.83,18.69,16.12,3.76,43.56
2026-07-06 23:06:27,19.42,172.1,122.47,21.6,5.38,26.88,15.45,12.99,46.24
2026-07-06 23:11:31,18.69,233.0,113.35,16.0,13.87,23.41,15.09,2.54,40.98
2026-07-06 23:24:34,19.3,171.3,110.4,18.6,15.68,28.57,12.83,7.04,47.88
2026-07-06 23:36:33,20.17,155.6,98.04,39.1,13.03,26.77,16.93,7.33,42.48
2026-07-06 23:44:57,19.49,152.1,110.22,14.6,9.27,30.8,14.78,2.2,46.0
2026-07-06 23:51:30,18.81,141.3,96.66,8.0,6.06,18.93,14.62,0.84,43.2
2026-07-07 00:06:05,18.83,118.8,109.41,8.7,7.39,29.29,15.11,2.23,43.87
2026-07-07 00:14:27,19.27,173.0,119.97,24.4,9.42,25.63,13.93,4.56,44.71
2026-07-07 00:20:22,18.79,187.3,107.2,8.0,12.87,33.83,9.95,19.12,42.93
2026-07-07 00:26:20,18.89,149.5,113.34,15.5,8.92,25.08,11.17,3.31,44.87
2026-07-07 00:39:49,19.38,174.1,109.43,25.8,14.2,25.8,16.79,1.82,45.79
2026-07-07 00:50:51,18.93,126.2,96.2,16.5,7.2,32.92,21.87,0.73,39.96
2026-07-07 01:03:55,18.59,234.7,110.39,38.8,12.48,29.07,14.35,5.94,41.61
2026-07-07 01:16:13,19.2,174.5,116.43,33.6,8.85,26.53,10.07,3.94,43.28
2026-07-07 01:26:35,18.95,142.2,116.47,29.8,9.03,21.16,16.25,5.9,45.91
2026-07-07 01:41:19,18.48,153.2,110.62,27.2,10.22,32.32,13.47,0.38,41.13
2026-07-07 01:50:06,19.91,185.1,93.57,37.2,12.08,22.76,10.32,7.82,41.98
2026-07-07 02:00:37,20.22,150.5,98.68,8.0,10.52,17.73,11.46,0.23,47.08
2026-07-07 02:13:55,20.24,194.7,86.68,38.8,12.96,24.34,15.25,1.5,42.57
2026-07-07 02:25:06,19.54,172.1,92.05,20.6,6.0,30.44,11.0,2.12,43.92
2026-07-07 02:38:43,19.92,217.0,74.23,9.1,13.86,27.57,14.19,1.87,44.06
2026-07-07 02:49:29,19.87,188.4,95.63,20.3,9.14,20.86,12.74,0.61,49.02
2026-07-07 03:01:32,20.31,195.8,89.59,39.4,8.39,25.12,17.48,0.87,41.08
2026-07-07 03:07:00,19.48,239.0,101.24,11.5,7.97,20.89,20.43,1.1,46.39
2026-07-07 03:14:16,19.6,224.7,87.85,31.3,8.05,25.65,13.66,0.54,46.92
2026-07-07 03:22:10,19.86,232.1,97.99,14.2,12.39,20.35,11.54,4.72,44.12
2026-07-07 03:27:58,19.75,237.0,94.97,33.5,6.57,23.85,11.77,4.77,47.21
2026-07-07 03:35:18,20.36,277.0,91.24,11.4,8.75,19.39,13.1,2.42,46.99
2026-07-07 03:41:18,20.57,302.4,79.19,40.0,5.95,19.54,13.43,0.76,45.72
2026-07-07 03:49:05,20.88,296.9,85.58,5.3,13.61,31.95,19.62,3.42,46.22
2026-07-07 04:00:26,20.29,251.5,86.2,7.9,7.06,33.3,16.3,1.73,46.61
2026-07-07 04:09:05,21.22,304.6,87.57,31.0,10.38,18.72,16.49,7.46,47.85
2026-07-07 04:17:47,20.91,270.0,77.35,30.2,9.21,10.5,11.52,0.54,49.0
2026-07-07 04:24:53,20.05,268.6,110.87,20.7,6.79,32.5,3.14,7.47,49.95
2026-07-07 04:32:33,20.95,364.6,64.57,29.9,8.54,22.98,13.21,0.75,48.12
2026-07-07 04:46:55,21.38,349.8,72.43,14.8,7.43,23.93,14.06,1.56,46.51
2026-07-07 04:58:24,22.11,267.9,64.11,38.7,8.79,27.49,6.26,24.46,49.1
2026-07-07 05:09:30,21.14,362.2,57.59,29.9,12.4,17.54,12.93,4.31,46.6
2026-07-07 05:16:12,21.37,385.0,47.92,35.8,11.26,30.02,17.66,1.63,50.62
2026-07-07 05:28:30,21.4,392.0,55.61,5.1,10.74,16.97,14.47,5.46,46.97
2026-07-07 05:35:08,21.56,382.3,49.69,20.0,9.55,25.94,18.07,8.81,47.97
2026-07-07 05:43:55,22.34,350.6,49.79,17.0,9.61,23.56,20.68,3.08,51.61
2026-07-07 05:58:49,22.68,439.6,50.18,38.5,10.04,27.25,20.84,0.71,49.26
2026-07-07 06:10:13,21.89,432.4,49.33,27.9,9.99,29.82,16.98,2.52,49.58
2026-07-07 06:20:47,22.0,464.6,56.68,29.6,14.36,30.69,15.03,0.71,50.97
2026-07-07 06:32:38,23.16,479.6,59.25,33.6,13.13,24.61,16.03,2.41,51.4
2026-07-07 06:46:04,22.57,434.0,53.96,9.8,15.71,26.23,8.38,0.71,52.31
2026-07-07 06:58:49,22.74,456.2,64.77,27.8,5.53,27.94,13.41,2.65,50.68
2026-07-07 07:06:07,22.47,413.3,70.98,31.3,10.72,20.84,12.9,16.52,51.27
2026-07-07 07:11:26,23.17,471.0,72.43,24.4,6.68,20.98,16.11,9.42,48.82
2026-07-07 07:19:35,22.78,459.8,58.41,31.2,9.6,24.53,16.29,11.41,54.27
2026-07-07 07:27:16,22.95,515.7,79.89,25.8,1.86,22.56,24.29,0.71,51.84
2026-07-07 07:34:23,23.61,465.9,63.87,31.7,13.4,33.23,13.06,0.08,53.81
2026-07-07 07:48:48,23.52,519.2,78.11,32.6,5.78,24.71,10.86,6.05,52.71
2026-07-07 08:02:34,24.06,540.2,74.44,15.8,8.39,21.64,14.81,8.25,51.11
2026-07-07 08:10:43,23.5,491.1,68.07,28.8,14.25,28.13,14.03,0.3,49.38
2026-07-07 08:22:16,24.2,555.9,71.72,15.8,11.19,24.57,8.44,0.64,52.67
2026-07-07 08:31:14,23.09,585.2,107.93,23.3,10.99,17.18,16.04,7.6,54.58
2026-07-07 08:45:22,23.86,620.4,89.89,33.2,9.27,24.75,16.44,6.23,53.25
2026-07-07 08:54:58,23.97,538.0,93.93,22.5,7.38,23.05,14.94,4.27,55.06
2026-07-07 09:02:37,24.08,549.9,89.8,35.2,9.95,25.19,19.52,2.41,57.0
2026-07-07 09:10:05,25.15,600.7,84.33,37.0,9.82,19.8,13.19,6.37,56.29
2026-07-07 09:20:41,24.27,595.8,87.73,36.6,12.54,28.88,21.52,19.93,55.32
