timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-06 20:21:45,20.63,281.0,85.53,20.9,8.97,21.4,11.34,3.02,43.82
2026-07-06 20:34:24,20.0,264.4,89.59,9.1,11.65,26.09,11.32,1.49,44.78
2026-07-06 20:42:47,19.18,194.6,85.95,8.7,9.81,26.47,15.8,2.11,44.37
2026-07-06 20:52:06,20.31,258.0,83.2,16.6,7.74,20.99,11.46,10.88,47.92
2026-07-06 21:00:21,20.0,210.2,78.44,16.2,5.62,18.16,11.57,1.64,43.04
2026-07-06 21:05:34,19.88,296.5,106.74,33.6,10.33,17.08,10.15,6.78,44.25
2026-07-06 21:18:05,20.29,204.3,76.65,16.0,8.54,25.3,16.16,0.02,44.88
2026-07-06 21:30:21,19.94,207.7,104.48,14.2,10.77,22.18,16.82,0.01,41.46
2026-07-06 21:37:46,20.27,266.3,89.79,20.6,10.53,27.32,21.0,4.79,46.33
2026-07-06 21:43:19,18.69,228.3,105.19,23.5,9.24,26.97,16.34,21.42,44.16
2026-07-06 21:56:09,19.52,213.0,105.75,8.1,6.68,25.99,12.65,2.46,45.09
2026-07-06 22:10:03,19.71,237.4,106.33,6.9,16.33,21.28,4.83,8.4,42.9
2026-07-06 22:19:19,19.37,182.6,113.5,20.0,7.68,24.19,13.21,7.39,42.88
2026-07-06 22:31:21,19.22,171.4,98.6,18.9,7.65,33.54,10.52,0.49,44.96
2026-07-06 22:37:31,19.35,186.2,102.2,24.8,10.8,35.45,8.92,9.52,49.65
2026-07-06 22:49:33,17.78,237.1,91.29,37.0,11.87,28.26,19.19,8.8,43.33
2026-07-06 23:00:55,18.92,171.7,106.86,18.8,10.1,18.92,18.07,1.6,47.97
2026-07-06 23:14:33,19.01,192.2,115.49,13.2,14.06,18.23,10.33,1.06,45.26
2026-07-06 23:27:56,17.69,179.6,104.57,20.5,12.19,20.18,18.63,4.22,42.98
2026-07-06 23:41:18,18.26,168.8,103.24,34.0,7.91,28.53,15.85,6.46,43.71
2026-07-06 23:55:49,19.72,153.0,100.9,6.1,5.9,24.24,21.39,10.68,42.26
2026-07-07 00:04:09,19.58,189.9,114.07,27.6,13.82,28.33,15.62,14.59,41.23
2026-07-07 00:17:39,18.91,118.7,111.06,27.8,12.1,19.2,15.36,2.05,43.35
2026-07-07 00:31:38,18.92,198.1,117.21,27.5,12.73,24.33,11.85,1.31,40.43
