timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-08 14:22:02,23.21,735.7,96.4,14.4,14.9,23.86,29.28,2.53,47.07
2026-07-08 14:30:05,22.82,883.6,86.29,6.3,16.65,30.87,33.7,1.46,44.45
2026-07-08 14:37:22,22.98,741.4,76.76,17.2,16.79,34.01,22.79,1.36,42.17
2026-07-08 14:47:09,22.79,733.3,85.32,10.8,11.05,24.93,25.07,0,38.78
2026-07-08 14:55:06,23.27,847.4,66.9,17.4,9.1,26.19,18.65,4.54,37.53
2026-07-08 14:59:41,23.2,703.9,85.14,14.3,16.02,30.89,23.8,4.28,34.61
2026-07-08 15:05:48,23.1,775.0,76.18,14.4,20.65,30.82,31.79,2.22,31.69
2026-07-08 15:11:53,22.89,753.7,73.87,18.7,14.27,29.7,27.43,0.37,32.99
2026-07-08 15:15:12,23.4,726.4,64.49,16.0,14.0,27.57,24.02,1.72,30.09
2026-07-08 15:23:22,23.22,724.7,78.73,14.0,17.25,17.79,30.6,0.01,30.54
2026-07-08 15:32:27,22.6,655.9,84.77,2.3,15.67,37.39,24.53,8.88,29.19
2026-07-08 15:38:12,23.07,666.5,72.15,4.7,15.2,33.0,28.04,0.89,29.51
2026-07-08 15:45:03,22.78,662.7,53.98,10.8,11.61,26.92,19.29,2.29,29.53
2026-07-08 15:52:58,22.8,875.9,68.8,16.2,16.39,33.49,32.19,2.07,29.77
2026-07-08 15:58:19,23.07,741.8,64.7,11.2,11.33,32.12,19.6,0.72,27.67
2026-07-08 16:04:45,21.9,613.8,47.71,17.4,8.75,31.19,21.67,2.62,28.14
2026-07-08 16:11:05,22.49,587.2,71.33,19.8,15.98,26.04,26.25,1.8,28.9
2026-07-08 16:16:38,21.61,594.0,64.38,20.0,12.63,28.26,29.42,0.91,31.35
2026-07-08 16:19:11,21.92,704.2,63.49,14.5,13.1,25.08,22.25,6.51,30.7
2026-07-08 16:24:53,22.32,1190.3,54.23,24.7,11.49,27.52,18.66,3.68,30.15
2026-07-08 16:34:49,22.63,530.7,69.89,21.0,15.87,35.01,28.31,1.59,29.34
2026-07-08 16:42:45,21.91,567.8,54.45,16.8,10.15,31.04,19.32,2.42,29.2
2026-07-08 16:50:03,21.87,612.8,61.49,26.1,14.53,34.31,26.45,5.23,31.04
2026-07-08 16:58:15,22.01,514.0,53.15,17.0,7.7,22.92,23.05,2.15,29.04
2026-07-08 17:05:00,21.75,514.5,48.99,14.0,9.36,19.1,22.5,1.69,30.06
2026-07-08 17:10:12,21.69,625.6,27.47,17.5,7.2,16.4,15.55,0.4,30.39
2026-07-08 17:15:17,22.02,496.0,41.42,20.6,8.36,24.43,20.29,4.91,32.28
2026-07-08 17:24:25,21.52,532.9,19.07,18.0,6.58,22.1,14.81,5.36,32.01
2026-07-08 17:33:41,21.76,619.2,41.49,20.5,9.27,23.88,16.92,9.52,33.14
2026-07-08 17:41:21,21.22,486.0,41.77,19.4,8.25,21.82,19.03,1.41,36.89
2026-07-08 17:46:46,21.16,492.4,35.78,18.7,5.45,27.07,16.59,0.05,38.66
2026-07-08 17:54:00,21.24,636.6,36.23,15.4,9.06,24.4,12.94,0.17,40.7
2026-07-08 17:56:22,21.14,428.2,39.45,27.0,9.96,31.16,23.42,5.81,44.26
2026-07-08 18:00:49,20.56,539.7,40.79,19.7,8.34,21.63,24.82,0.46,44.58
2026-07-08 18:05:25,20.91,448.8,22.04,22.4,8.58,24.28,16.06,1.84,45.36
2026-07-08 18:08:32,20.96,459.4,37.26,18.1,5.01,29.02,14.32,3.57,44.69
2026-07-08 18:15:31,20.95,478.3,41.49,24.3,7.47,27.91,16.9,1.65,48.26
2026-07-08 18:20:49,20.73,428.1,45.32,16.5,10.6,23.05,24.9,5.6,47.63
2026-07-08 18:25:49,20.86,431.6,46.97,12.2,11.54,27.88,19.55,0.57,49.23
2026-07-08 18:33:11,21.04,510.1,39.61,23.1,8.75,21.74,19.87,12.29,49.4
2026-07-08 18:42:52,20.23,387.6,52.64,21.8,12.42,32.52,20.81,6.2,51.48
2026-07-08 18:50:44,20.61,494.8,46.19,18.6,10.88,26.89,28.49,5.4,53.52
2026-07-08 19:00:32,20.45,535.1,36.64,21.6,6.52,22.32,26.13,3.42,55.21
2026-07-08 19:08:21,19.49,381.4,65.53,17.8,14.61,23.15,23.95,2.74,55.37
2026-07-08 19:12:11,20.45,483.2,64.83,18.8,13.55,33.07,26.14,1.05,55.27
2026-07-08 19:15:48,20.32,385.3,47.7,16.7,10.76,27.34,21.61,1.81,60.38
2026-07-08 19:25:33,20.18,411.3,42.63,17.5,9.44,24.81,21.27,1.79,59.76
2026-07-08 19:34:19,19.95,381.5,49.21,12.2,8.2,22.34,17.16,2.07,59.89
2026-07-08 19:40:56,20.14,364.6,48.51,17.2,6.81,27.97,15.89,0.81,64.25
2026-07-08 19:45:15,19.89,646.3,64.2,22.1,9.77,29.99,24.07,1.99,66.0
2026-07-08 19:55:03,19.65,382.0,73.98,15.9,14.66,27.69,30.32,2.73,66.41
2026-07-08 20:00:50,19.69,399.4,83.83,18.7,14.09,27.98,22.74,0,69.51
