timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-06 20:24:30,21.42,234.2,94.21,5.2,7.52,29.08,17.48,5.62,43.52
2026-07-06 20:34:37,20.04,242.6,88.03,6.6,7.64,26.49,10.75,0.16,49.24
2026-07-06 20:45:20,18.99,260.5,97.9,21.0,12.0,26.29,10.06,1.74,49.29
2026-07-06 20:59:31,20.74,275.4,86.01,35.5,9.53,21.34,13.58,0.48,45.42
2026-07-06 21:06:42,19.57,304.2,92.99,12.9,10.33,18.51,14.86,0.87,43.79
2026-07-06 21:14:38,20.6,276.5,85.0,7.7,15.04,25.61,14.7,3.62,46.17
2026-07-06 21:28:15,20.15,201.9,93.91,8.4,13.91,29.4,15.17,4.85,47.25
2026-07-06 21:41:51,20.48,173.9,105.3,22.4,13.23,26.12,10.75,2.09,44.82
2026-07-06 21:49:07,19.37,181.9,90.36,12.6,15.82,28.44,7.45,2.56,42.59
2026-07-06 21:57:23,18.96,171.1,105.41,32.1,9.97,29.83,20.7,1.68,44.86
2026-07-06 22:02:45,20.02,194.2,102.31,18.6,14.89,26.83,14.43,9.14,45.15
2026-07-06 22:08:46,19.46,156.7,88.49,15.8,11.33,26.61,18.11,3.87,44.81
2026-07-06 22:19:04,19.09,238.0,82.29,34.7,9.03,21.92,19.0,6.4,43.36
2026-07-06 22:30:20,18.84,185.9,105.03,23.4,6.1,32.16,17.25,3.93,43.52
2026-07-06 22:37:21,19.16,203.1,101.24,19.2,9.46,20.86,8.86,3.07,43.48
2026-07-06 22:51:44,19.0,173.2,108.17,24.9,8.24,23.19,15.13,1.04,41.79
2026-07-06 22:58:19,18.55,207.0,89.31,5.7,8.48,23.4,12.46,4.2,46.99
2026-07-06 23:10:45,18.26,163.1,108.38,13.1,10.62,20.4,14.32,2.79,45.3
2026-07-06 23:22:21,19.02,120.5,114.61,35.3,8.37,28.0,7.87,10.65,44.6
2026-07-06 23:35:26,18.29,145.9,100.38,8.1,11.45,22.95,10.47,10.96,43.6
2026-07-06 23:50:03,19.03,193.5,101.72,39.7,8.72,24.75,20.75,2.91,44.06
2026-07-06 23:56:37,18.57,171.7,101.89,25.6,11.02,25.51,19.79,0.93,45.44
2026-07-07 00:02:24,19.62,158.6,109.8,29.2,10.09,26.19,10.67,2.25,40.42
2026-07-07 00:16:25,19.03,161.6,119.73,37.9,6.6,24.11,10.45,1.68,42.65
2026-07-07 00:26:05,19.34,166.7,133.99,33.9,9.1,25.7,16.21,2.73,41.48
2026-07-07 00:33:22,19.76,181.1,128.4,24.0,8.56,22.87,8.99,3.15,43.53
2026-07-07 00:41:16,19.16,181.5,99.25,6.5,12.63,26.22,10.63,5.17,42.73
2026-07-07 00:54:32,19.03,130.3,122.23,28.6,9.56,25.99,11.27,7.13,44.37
2026-07-07 01:00:57,19.44,151.7,104.82,17.4,9.59,19.75,12.73,5.14,44.29
2026-07-07 01:15:43,19.1,206.4,105.35,7.2,10.44,29.0,11.93,4.35,46.94
2026-07-07 01:26:53,19.14,216.1,114.65,37.6,2.81,33.38,12.24,0.96,41.67
2026-07-07 01:41:39,19.5,193.2,99.25,37.4,13.0,26.04,16.0,17.17,44.39
2026-07-07 01:49:27,18.27,229.6,95.18,29.9,12.01,30.66,19.32,0.57,45.44
2026-07-07 01:54:37,19.41,165.6,107.9,7.5,9.46,25.67,18.36,3.82,43.72
2026-07-07 02:06:33,19.53,239.4,76.85,24.8,14.67,29.11,15.87,4.83,42.2
2026-07-07 02:12:34,18.73,191.7,108.04,8.8,5.05,21.0,7.93,11.62,45.19
2026-07-07 02:23:55,19.47,183.8,108.19,12.9,8.44,25.76,17.79,2.6,44.36
2026-07-07 02:31:53,19.52,211.4,86.43,6.3,11.79,29.18,8.24,4.52,48.67
2026-07-07 02:39:00,19.7,202.0,98.82,18.8,10.94,22.49,13.17,4.75,47.43
2026-07-07 02:47:59,19.07,197.4,102.09,13.8,9.54,31.01,12.82,5.32,45.41
2026-07-07 02:58:00,19.5,227.2,98.57,19.7,6.67,32.43,13.26,13.25,47.02
