timestamp,T,CO2,VOC,NO2,PMS1,PMS10,PMS2_5,C2H5OH,H
2026-07-04 16:26:57,22.95,684.9,64.74,16.6,12.86,31.34,26.38,3.61,45.4
2026-07-04 16:34:21,23.02,717.6,47.07,11.5,12.53,37.14,27.91,0,43.37
2026-07-04 16:40:02,22.85,639.0,51.13,11.0,12.36,31.39,26.84,6.71,43.68
2026-07-04 16:49:36,22.87,592.1,57.54,10.7,14.81,36.55,29.22,9.61,43.9
2026-07-04 16:53:25,22.72,631.4,58.99,17.0,12.78,25.22,29.46,4.25,43.13
2026-07-04 16:58:16,23.26,729.7,57.42,8.2,15.22,33.29,26.54,19.6,42.84
2026-07-04 17:00:22,22.33,766.8,80.53,17.3,14.68,39.34,28.29,9.08,38.86
2026-07-04 17:08:14,22.61,652.1,57.75,5.9,16.79,35.14,26.52,2.32,39.0
2026-07-04 17:17:04,22.61,596.2,61.95,11.5,11.1,30.7,21.76,1.18,39.49
2026-07-04 17:24:48,22.56,577.8,57.16,20.0,13.49,35.83,27.1,1.49,39.9
2026-07-04 17:31:44,22.3,739.4,64.81,13.1,13.55,31.81,25.99,5.79,38.51
2026-07-04 17:38:58,22.3,565.2,64.08,12.9,13.71,39.22,29.09,8.51,42.3
2026-07-04 17:47:22,22.24,519.8,57.21,15.8,13.56,29.36,25.82,1.29,40.34
2026-07-04 17:53:48,22.4,641.5,51.48,16.5,14.3,27.9,30.63,6.29,39.8
2026-07-04 17:56:43,21.61,571.5,55.35,16.4,12.23,35.31,25.56,2.72,39.95
2026-07-04 18:04:03,22.15,524.5,52.39,8.8,9.83,30.98,24.29,6.67,38.87
2026-07-04 18:10:36,22.16,485.0,35.1,9.9,12.06,38.59,9.83,0,43.3
2026-07-04 18:16:40,21.75,634.1,50.18,23.4,14.41,35.18,32.02,0.99,42.05
2026-07-04 18:20:58,21.35,556.5,52.81,14.4,11.57,27.69,25.88,0.69,42.45
2026-07-04 18:30:15,21.5,564.4,47.94,12.3,11.55,29.82,20.42,8.94,43.48
2026-07-04 18:38:11,21.74,473.4,74.47,17.0,14.75,35.36,31.83,1.73,47.54
2026-07-04 18:46:30,21.43,479.7,42.9,19.5,12.81,27.9,20.76,2.25,50.17
2026-07-04 18:51:51,21.69,603.3,61.0,10.3,13.71,35.08,26.06,0.25,51.28
2026-07-04 18:57:55,21.39,469.1,74.53,15.5,12.35,33.45,26.0,1.36,49.52
2026-07-04 19:05:13,21.4,415.3,64.2,16.4,13.04,34.04,29.24,4.34,48.82
2026-07-04 19:09:05,21.33,610.4,51.82,14.3,10.85,30.68,29.22,3.51,52.48
2026-07-04 19:17:50,20.78,779.2,51.16,19.3,12.75,28.92,21.07,0.91,51.56
2026-07-04 19:21:06,21.32,534.6,85.68,19.7,15.43,28.81,22.12,12.53,53.39
2026-07-04 19:25:55,20.71,508.3,62.24,13.8,13.84,31.78,22.97,0.53,54.93
2026-07-04 19:33:43,20.6,587.5,67.73,17.6,18.25,32.9,28.94,3.82,56.79
2026-07-04 19:43:33,20.75,520.2,64.66,17.5,10.97,25.51,27.54,1.63,59.32
2026-07-04 19:50:34,21.03,404.2,79.8,21.9,12.0,37.57,29.75,0.28,60.47
2026-07-04 19:54:59,20.66,421.4,86.38,7.9,15.31,28.93,33.21,3.27,62.16
2026-07-04 20:02:04,20.94,537.8,95.12,18.1,19.43,35.38,30.85,2.85,63.19
2026-07-04 20:09:50,20.56,473.7,100.22,14.6,16.15,38.44,31.65,0,63.9
2026-07-04 20:16:02,20.38,413.8,75.14,16.7,14.95,22.05,22.29,2.75,64.73
2026-07-04 20:20:05,20.24,431.2,92.83,13.4,15.49,31.54,32.03,0.65,64.87
2026-07-04 20:28:48,19.67,434.1,101.33,16.9,18.93,33.12,30.29,7.76,66.69
2026-07-04 20:37:31,20.29,532.8,95.68,10.6,15.61,35.72,35.07,3.13,69.64
2026-07-04 20:43:51,19.84,402.6,109.46,25.0,18.82,42.57,34.53,1.49,69.3
2026-07-04 20:48:07,20.02,379.5,102.62,16.5,19.57,39.2,34.17,2.12,70.79
2026-07-04 20:50:20,20.04,366.8,95.65,16.2,18.48,36.27,35.4,2.47,71.4
2026-07-04 20:58:32,19.79,385.6,104.82,14.8,24.71,48.97,35.49,0.09,70.8
2026-07-04 21:04:15,19.71,379.7,116.83,18.5,20.63,41.28,36.17,10.38,71.74
2026-07-04 21:12:16,20.19,392.1,115.61,17.2,18.28,40.05,28.19,1.69,74.78
2026-07-04 21:19:21,20.09,462.3,107.0,17.8,18.56,40.15,34.58,2.93,76.06
2026-07-04 21:25:55,19.38,404.7,122.01,16.5,23.98,37.35,44.84,14.81,75.76
2026-07-04 21:29:20,19.82,348.9,111.35,17.6,16.93,37.55,31.88,4.28,74.86
2026-07-04 21:34:58,19.76,482.9,106.73,16.5,21.45,39.57,37.14,0,77.29
2026-07-04 21:38:12,18.95,449.4,117.76,15.5,19.5,38.69,34.15,3.2,78.74
2026-07-04 21:48:02,19.61,334.7,101.33,14.7,17.2,36.2,33.9,2.31,82.42
2026-07-04 21:52:51,19.32,379.8,127.81,21.5,23.07,39.45,37.35,6.34,83.7
2026-07-04 22:00:02,19.55,392.3,115.58,15.4,18.75,33.45,36.03,1.86,85.38
2026-07-04 22:09:32,19.13,525.5,113.93,15.9,18.54,35.91,36.53,2.96,85.27
2026-07-04 22:14:46,18.93,367.8,111.07,16.2,17.08,37.69,35.47,1.46,86.51
2026-07-04 22:18:04,18.86,366.3,105.39,13.2,18.4,39.45,22.13,0.82,87.96
2026-07-04 22:21:20,19.42,490.1,112.75,16.3,21.82,43.06,33.38,8.33,88.71
2026-07-04 22:27:00,18.92,374.1,121.55,12.8,20.92,38.23,33.22,1.63,89.27
2026-07-04 22:35:31,18.79,350.1,111.34,17.6,21.65,37.73,39.99,2.42,87.81
2026-07-04 22:44:54,19.08,385.9,111.51,14.9,18.13,35.37,31.71,1.76,88.78
2026-07-04 22:54:44,18.99,352.5,137.86,10.1,20.87,40.4,34.3,7.55,89.01
2026-07-04 22:59:43,18.68,346.7,108.04,10.5,18.03,42.07,34.03,1.61,89.57
2026-07-04 23:03:18,18.9,498.9,122.21,13.5,22.57,42.68,35.88,2.61,88.12
2026-07-04 23:07:09,18.82,352.1,120.07,13.3,23.13,46.74,34.7,3.6,88.95
2026-07-04 23:14:26,19.7,342.3,114.08,11.1,22.89,47.82,33.57,18.02,90.0
2026-07-04 23:18:35,18.87,377.9,125.49,19.0,23.37,38.38,37.74,3.38,89.78
2026-07-04 23:26:00,18.58,364.0,117.8,16.1,17.9,33.65,30.81,9.8,90.0
2026-07-04 23:30:36,18.84,413.2,107.48,15.9,22.57,38.1,39.55,4.53,90.0
2026-07-04 23:40:16,18.62,567.0,111.01,12.1,18.45,36.96,30.29,9.41,90.0
2026-07-04 23:43:53,18.7,332.2,145.07,12.9,27.35,47.51,44.42,0.46,90.0
2026-07-04 23:51:33,18.91,360.5,124.99,9.0,23.49,43.38,40.23,0.66,90.0
2026-07-04 23:54:17,19.34,447.7,130.81,13.1,21.96,41.95,34.25,2.9,90.0
2026-07-05 00:03:06,19.31,358.1,113.78,16.1,21.56,39.57,36.13,11.68,89.48
2026-07-05 00:10:54,18.72,368.9,133.06,20.0,23.62,53.85,38.01,2.19,90.0
2026-07-05 00:16:42,19.13,326.4,114.88,17.8,17.97,39.01,34.19,8.77,89.78
2026-07-05 00:24:10,18.01,472.8,125.24,17.4,18.66,37.19,34.02,9.68,90.0
2026-07-05 00:33:46,19.42,326.4,117.13,12.4,17.56,39.58,33.26,18.55,90.0
2026-07-05 00:41:53,18.79,359.8,117.7,16.6,18.4,41.88,33.99,0.3,90.0
2026-07-05 00:45:20,19.49,328.5,121.5,20.3,19.98,35.89,37.0,0,90.0
2026-07-05 00:53:11,18.52,360.4,109.8,15.7,19.96,46.29,34.87,7.25,90.0
2026-07-05 01:02:39,19.53,440.2,115.45,7.0,22.68,42.33,35.08,10.01,90.0
2026-07-05 01:09:23,19.37,369.9,99.66,11.1,18.44,36.4,34.89,2.05,90.0
2026-07-05 01:19:11,18.94,405.9,116.41,14.6,21.14,39.78,40.95,0.78,89.45
2026-07-05 01:22:05,18.99,398.8,105.1,18.3,16.99,36.59,31.93,7.15,90.0
2026-07-05 01:28:24,19.62,373.5,108.83,15.5,19.61,38.0,38.73,7.84,90.0
2026-07-05 01:34:28,19.34,347.6,121.84,8.4,19.33,30.89,41.98,2.68,90.0
2026-07-05 01:36:30,18.72,366.0,112.29,11.3,18.57,38.75,30.74,0.87,90.0
2026-07-05 01:42:08,19.61,381.8,106.83,15.4,23.67,39.62,38.16,4.05,90.0
2026-07-05 01:46:05,19.41,371.3,118.6,12.6,18.49,38.32,36.34,7.82,90.0
2026-07-05 01:55:28,19.5,446.9,94.38,12.5,15.92,38.26,30.85,0,90.0
2026-07-05 02:00:02,19.71,357.4,121.49,13.6,19.4,38.81,33.4,1.31,90.0
2026-07-05 02:04:39,19.64,483.5,111.68,9.8,18.96,46.1,35.45,0.49,90.0
2026-07-05 02:11:45,19.78,361.3,108.34,11.1,20.13,37.41,39.59,6.57,90.0
2026-07-05 02:16:13,19.41,349.5,113.36,6.9,23.66,37.73,36.5,5.62,90.0
2026-07-05 02:23:22,19.61,380.0,120.31,10.2,19.85,38.4,33.78,1.07,90.0
2026-07-05 02:28:37,19.73,422.5,120.13,13.2,20.15,38.67,36.72,0.21,88.8
2026-07-05 02:33:32,19.19,374.2,89.36,10.0,18.68,36.14,36.17,6.16,88.52
2026-07-05 02:38:24,19.8,435.4,97.83,19.9,19.17,31.44,37.93,3.74,90.0
2026-07-05 02:45:45,20.29,362.1,108.42,10.4,17.03,38.47,27.61,2.43,90.0
2026-07-05 02:52:55,19.84,484.1,112.24,12.8,22.53,44.49,42.59,4.5,88.79
2026-07-05 02:57:39,19.55,389.2,109.08,8.0,16.08,41.69,28.16,3.44,86.34
2026-07-05 03:04:19,20.09,702.6,99.91,13.1,16.61,38.37,33.21,7.74,86.78
